"full_name","html_url","description","matched_query","stars","forks","language","topics","open_issues","size_kb","default_branch","created_at","updated_at","pushed_at","latest_default_branch_commit_date","archived","disabled","license","contributors_count","test_file_count","test_function_count","clone_url"
"langchain-ai/langchain","https://github.com/langchain-ai/langchain","The agent engineering platform","AI agent framework stars:>999 language:Python","132366","21836","Python","agents,ai,ai-agents,anthropic,chatgpt,deepagents,enterprise,framework,gemini,generative-ai,langchain,langgraph,llm,multiagent,open-source,openai,pydantic,python,rag","516","531326","master","2022-10-17T02:58:36Z","2026-04-04T21:08:28Z","2026-04-04T06:16:32Z","2026-04-04T03:42:16Z","False","False","MIT","3667","533","4141","https://github.com/langchain-ai/langchain.git"
"FoundationAgents/MetaGPT","https://github.com/FoundationAgents/MetaGPT","🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming","AI agent framework stars:>999 language:Python","66638","8418","Python","agent,gpt,llm,metagpt,multi-agent","106","184037","main","2023-06-30T09:04:55Z","2026-04-04T20:19:17Z","2026-01-21T10:12:33Z","2026-01-21T10:12:32Z","False","False","MIT","148","248","752","https://github.com/FoundationAgents/MetaGPT.git"
"microsoft/autogen","https://github.com/microsoft/autogen","A programming framework for agentic AI","AI agent framework stars:>999 language:Python","56691","8525","Python","agentic,agentic-agi,agents,ai,autogen,autogen-ecosystem,chatgpt,framework,llm-agent,llm-framework","728","148610","main","2023-08-18T11:43:45Z","2026-04-04T20:59:54Z","2026-04-02T17:23:44Z","2026-03-26T03:15:37Z","False","False","CC-BY-4.0","532","99","1192","https://github.com/microsoft/autogen.git"
"crewAIInc/crewAI","https://github.com/crewAIInc/crewAI","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","AI agent framework stars:>999 language:Python","48029","6538","Python","agents,ai,ai-agents,aiagentframework,llms","501","222212","main","2023-10-27T03:26:59Z","2026-04-04T20:04:12Z","2026-04-04T15:19:05Z","2026-04-03T20:09:31Z","False","False","MIT","286","219","3787","https://github.com/crewAIInc/crewAI.git"
"langchain-ai/langgraph","https://github.com/langchain-ai/langgraph","Build resilient language agents as graphs.","AI agent framework stars:>999 language:Python","28411","4852","Python","agents,ai,ai-agents,chatgpt,deepagents,enterprise,framework,gemini,generative-ai,langchain,langgraph,llm,multiagent,open-source,openai,pydantic,python,rag","475","516131","main","2023-08-09T18:33:12Z","2026-04-04T20:39:50Z","2026-04-04T20:09:30Z","2026-04-04T03:26:43Z","False","False","MIT","276","83","1340","https://github.com/langchain-ai/langgraph.git"
"openai/swarm","https://github.com/openai/swarm","Educational framework exploring ergonomic, lightweight multi-agent orchestration. Managed by OpenAI Solution team.","multi-agent orchestration framework stars:>999 language:Python","21276","2272","Python","","21","499","main","2024-02-22T20:53:54Z","2026-04-04T14:34:30Z","2025-03-11T17:27:22Z","2025-03-11T17:27:22Z","False","False","MIT","14","2","6","https://github.com/openai/swarm.git"
"openai/openai-agents-python","https://github.com/openai/openai-agents-python","A lightweight, powerful framework for multi-agent workflows","AI agent framework stars:>999 language:Python","20570","3376","Python","agents,ai,framework,llm,openai,python","79","20707","main","2025-03-11T03:42:36Z","2026-04-04T19:47:17Z","2026-04-04T03:21:29Z","2026-04-04T03:19:50Z","False","False","MIT","236","182","2586","https://github.com/openai/openai-agents-python.git"
"emcie-co/parlant","https://github.com/emcie-co/parlant","The conversational control layer for customer-facing AI agents - Parlant is a context-engineering framework optimized for controlling customer interactions.","AI agent framework stars:>999 language:Python","17869","1512","Python","ai-agents,ai-alignment,customer-service,customer-success,gemini,genai,hacktoberfest,llama3,llm,openai,python","56","87061","develop","2024-02-15T20:16:15Z","2026-04-04T18:24:12Z","2026-04-03T15:57:50Z","2026-04-02T20:07:50Z","False","False","Apache-2.0","42","86","1015","https://github.com/emcie-co/parlant.git"
"TransformerOptimus/SuperAGI","https://github.com/TransformerOptimus/SuperAGI","<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.","AI agent framework stars:>999 language:Python","17417","2191","Python","agents,agi,ai,artificial-general-intelligence,artificial-intelligence,autonomous-agents,gpt-4,hacktoberfest,llm,llmops,nextjs,openai,pinecone,python,superagi","223","63451","main","2023-05-13T08:55:24Z","2026-04-04T17:35:02Z","2025-01-22T22:14:07Z","2025-01-22T22:14:07Z","False","False","MIT","74","121","398","https://github.com/TransformerOptimus/SuperAGI.git"
"agent0ai/agent-zero","https://github.com/agent0ai/agent-zero","Agent Zero AI framework","AI agent framework stars:>999 language:Python","16723","3434","Python","agent,ai,assistant,autonomous,linux,zero","359","39978","main","2024-06-10T09:10:45Z","2026-04-04T20:20:25Z","2026-04-03T15:18:23Z","2026-04-03T15:15:57Z","False","False","NOASSERTION","41","36","149","https://github.com/agent0ai/agent-zero.git"
