full_name,html_url,clone_url,default_branch,description,matched_frameworks,stars,forks,language,topics,open_issues,size_kb,created_at,updated_at,pushed_at,license,lifetime_days,contributors,total_commits,commits_per_month
langflow-ai/langflow,https://github.com/langflow-ai/langflow,https://github.com/langflow-ai/langflow.git,main,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,"crewai, langchain, langchain_anthropic, langchain_chroma, langchain_core, langchain_groq, langchain_perplexity, langchain_qdrant",150239,9365,Python,"agents,chatgpt,generative-ai,large-language-models,multiagent,react-flow",967,1393524,2023-02-08T22:28:03Z,2026-06-30T14:25:16Z,2026-06-30T14:22:19Z,MIT,1237,358,18211,441.66
bytedance/deer-flow,https://github.com/bytedance/deer-flow,https://github.com/bytedance/deer-flow.git,main,"An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.","langgraph, subagents",75754,10226,Python,"agent,agentic,agentic-framework,agentic-workflow,ai,ai-agents,deep-research,harness,langchain,langgraph,langmanus,llm,multi-agent,nodejs,podcast,python,superagent,typescript",984,41037,2025-05-07T02:50:19Z,2026-07-01T23:43:15Z,2026-07-01T23:43:09Z,MIT,420,299,2441,174.36
BerriAI/litellm,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm.git,litellm_internal_staging,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]","agentops, headroom, langgraph",52017,9295,Python,"ai-gateway,anthropic,azure-openai,bedrock,gateway,langchain,litellm,llm,llm-gateway,llmops,mcp-gateway,openai,openai-proxy,rust,rust-ai,vertex-ai",3509,1186490,2023-07-27T00:09:52Z,2026-06-29T18:03:37Z,2026-06-29T18:02:31Z,NOASSERTION,1068,1532,40134,1127.36
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix,https://github.com/Arize-ai/phoenix.git,main,AI Observability & Evaluation,"crewai, langchain_anthropic, pydantic_ai",10322,946,Python,"agents,ai-monitoring,ai-observability,aiengineering,anthropic,datasets,evals,langchain,llamaindex,llm-eval,llm-evaluation,llmops,llms,openai,prompt-engineering,smolagents",631,489077,2022-11-09T23:44:35Z,2026-06-29T16:27:28Z,2026-06-29T14:31:11Z,NOASSERTION,1327,197,8955,202.45
mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow.git,master,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.","dspy, langchain_core, pydantic_ai, semantic_kernel, smolagents",26778,5927,Python,"agentops,agents,ai,ai-governance,apache-spark,evaluation,langchain,llm-evaluation,llmops,machine-learning,ml,mlflow,mlops,model-management,observability,open-source,openai,prompt-engineering",2018,1485418,2018-06-05T16:05:58Z,2026-06-30T03:49:47Z,2026-06-30T03:51:00Z,Apache-2.0,2946,1082,12619,128.5
marimo-team/marimo,https://github.com/marimo-team/marimo,https://github.com/marimo-team/marimo.git,main,"A reactive notebook for Python — run reproducible experiments, query with SQL, execute as a script, deploy as an app, and version with git. Stored as pure Python. All in a modern, AI-native editor.",pydantic_ai,21659,1153,Python,"artificial-intelligence,dag,data-science,data-visualization,dataflow,developer-tools,machine-learning,notebooks,pipeline,python,reactive,sql,web-app",630,219647,2023-08-14T18:56:20Z,2026-07-02T02:12:28Z,2026-07-01T22:11:56Z,Apache-2.0,1052,310,6312,180.0
angr/angr,https://github.com/angr/angr,https://github.com/angr/angr.git,master,A powerful and user-friendly binary analysis platform!,pydantic_ai,8924,1178,Python,"analysis,angr,binary,hacktoberfest",620,82606,2015-08-06T21:46:55Z,2026-07-02T14:33:18Z,2026-07-02T10:18:13Z,BSD-2-Clause,3982,309,14484,109.12
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent.git,main,The agent that grows with you,"honcho, mem0",205507,37095,Python,"ai,ai-agent,ai-agents,anthropic,chatgpt,claude,claude-code,clawdbot,codex,hermes,hermes-agent,llm,moltbot,nous-research,openai,openclaw",24177,444508,2025-07-22T22:22:28Z,2026-06-29T14:55:26Z,2026-06-29T14:08:20Z,MIT,341,1837,14282,1256.48
microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit.git,main,"AI Agent Governance Toolkit — Policy enforcement, zero-trust identity, execution sandboxing, and reliability engineering for autonomous AI agents. Covers 10/10 OWASP Agentic Top 10.","agent_framework, agentops, autogen_ext, haystack, pydantic_ai, smolagents",4547,653,Python,"agent-framework,ai-agents,ai-safety,compliance,governance,microsoft,owasp,policy-engine,python,security,trust,zero-trust",62,41169,2026-03-02T22:11:47Z,2026-06-29T16:05:51Z,2026-06-29T10:44:47Z,MIT,118,116,2184,555.25
future-agi/future-agi,https://github.com/future-agi/future-agi,https://github.com/future-agi/future-agi.git,main,"Open-source, end-to-end platform for evaluating, observing, and improving LLM and AI agent applications. Tracing · Evals · Simulations · Datasets · Gateway · Guardrails. Self-hostable. Apache 2.0.",smolagents,1255,291,Python,"ai,ai-gateway,evals,llm,observability,simulation",350,109470,2026-04-23T14:11:31Z,2026-06-29T16:01:12Z,2026-06-29T15:14:18Z,Apache-2.0,67,35,1268,567.76
run-llama/llama_index,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index.git,main,LlamaIndex is the leading document agent and OCR platform,"agentops, agui, langchain",50504,7651,Python,"agents,application,data,fine-tuning,framework,llamaindex,llm,multi-agents,rag,vector-database",524,470816,2022-11-02T04:24:54Z,2026-06-29T17:34:31Z,2026-06-26T14:23:35Z,MIT,1332,1963,7855,176.91
kungfuai/CVlization,https://github.com/kungfuai/CVlization,https://github.com/kungfuai/CVlization.git,main,Practical workflows for training and inference on AI models,"dspy, omnigent",12,3,Python,"ai,decentralized,docker,finetune,generative-ai,inference,llm,nlp,rl,vision",5,130712,2021-10-07T03:21:03Z,2026-05-25T18:37:01Z,2026-05-27T23:41:24Z,MIT,1693,7,1730,30.66
EpicStaff/EpicStaff,https://github.com/EpicStaff/EpicStaff,https://github.com/EpicStaff/EpicStaff.git,main,"Source-available, self-hosted platform for building AI agent flows - visual editor over a Django backend.","agentops, crewai, crewai_tools, graphrag, langchain_groq, langchain_mistralai, mem0",265,41,Python,"ade,ai,aiagents,aiagentsframework,gui,low-code,multi-agent-systems,no-code,nodebasedprogramming,orchestration,python",30,223443,2025-03-20T12:10:00Z,2026-06-28T15:18:22Z,2026-06-29T15:24:51Z,NOASSERTION,466,32,4507,290.15
