"full_name","html_url","clone_url","default_branch","description","matched_frameworks","stars","forks","language","topics","open_issues","size_kb","created_at","updated_at","pushed_at","license","lifetime_days","test_file_count","test_function_count","llm_test_count","clone_status","contributors","total_commits","commits_per_month"
"microsoft/markitdown","https://github.com/microsoft/markitdown","https://github.com/microsoft/markitdown.git","main","Python tool for converting files and office documents to Markdown.","autogen, langchain","110210","7038","Python","autogen,autogen-extension,langchain,markdown,microsoft-office,openai,pdf","602","4254","2024-11-13T19:56:40Z","2026-04-16T16:51:58Z","2026-04-15T22:26:44Z","MIT","518","13","105","7","ok","","",""
"bytedance/deer-flow","https://github.com/bytedance/deer-flow","https://github.com/bytedance/deer-flow.git","main","An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.","langchain, langgraph","62012","7995","Python","agent,agentic,agentic-framework,agentic-workflow,ai,ai-agents,deep-research,harness,langchain,langgraph,langmanus,llm,multi-agent,nodejs,podcast,python,superagent,typescript","654","31209","2025-05-07T02:50:19Z","2026-04-16T16:42:25Z","2026-04-16T16:49:57Z","MIT","344","109","1857","4","ok","","",""
"666ghj/MiroFish","https://github.com/666ghj/MiroFish","https://github.com/666ghj/MiroFish.git","main","A Simple and Universal Swarm Intelligence Engine, Predicting Anything. 简洁通用的群体智能引擎，预测万物","swarms","55593","8418","Python","agent-memory,financial-forecasting,future-prediction,knowledge-graph,llms,multi-agent-simulation,public-opinion-analysis,python3,social-prediction,swarm-intelligence","238","16197","2025-11-26T04:23:02Z","2026-04-16T16:46:57Z","2026-04-02T08:54:54Z","AGPL-3.0","127","1","1","0","ok","","",""
"BerriAI/litellm","https://github.com/BerriAI/litellm","https://github.com/BerriAI/litellm.git","litellm_internal_staging","Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]","langchain","43543","7291","Python","ai-gateway,anthropic,azure-openai,bedrock,gateway,langchain,litellm,llm,llm-gateway,llmops,mcp-gateway,openai,openai-proxy,vertex-ai","2500","1021416","2023-07-27T00:09:52Z","2026-04-16T16:50:09Z","2026-04-16T16:42:55Z","NOASSERTION","994","0","0","0","failed","","",""
"chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat.git","master","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","langchain","37853","6196","Python","chatbot,chatchat,chatglm,chatgpt,embedding,faiss,fastchat,gpt,knowledge-base,langchain,langchain-chatglm,llama,llm,milvus,ollama,qwen,rag,retrieval-augmented-generation,streamlit,xinference","21","144496","2023-03-31T12:12:45Z","2026-04-16T16:35:53Z","2025-11-10T09:27:42Z","Apache-2.0","954","22","80","9","ok","","",""
"mlflow/mlflow","https://github.com/mlflow/mlflow","https://github.com/mlflow/mlflow.git","master","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.","agentops, langchain","25404","5587","Python","agentops,agents,ai,ai-governance,apache-spark,evaluation,langchain,llm-evaluation,llmops,machine-learning,ml,mlflow,mlops,model-management,observability,open-source,openai,prompt-engineering","2007","1407370","2018-06-05T16:05:58Z","2026-04-16T16:44:43Z","2026-04-16T05:58:30Z","Apache-2.0","2871","752","11135","335","ok","","",""
"langchain-ai/deepagents","https://github.com/langchain-ai/deepagents","https://github.com/langchain-ai/deepagents.git","main","Agent harness built with LangChain and LangGraph. Equipped with a planning tool, a filesystem backend, and the ability to spawn subagents - well-equipped to handle complex agentic tasks.","langchain, langgraph","20964","2914","Python","ai,deepagents,langchain,langgraph","223","82686","2025-07-27T23:07:53Z","2026-04-16T16:40:02Z","2026-04-16T16:31:06Z","MIT","262","190","4673","223","ok","","",""
"1Panel-dev/MaxKB","https://github.com/1Panel-dev/MaxKB","https://github.com/1Panel-dev/MaxKB.git","v2","🔥 MaxKB is an open-source platform for building enterprise-grade agents.  强大易用的开源企业级智能体平台。","langchain","20747","2779","Python","agent,agentic-ai,chatbot,deepseek-r1,knowledgebase,langchain,llama3,llm,maxkb,mcp-server,ollama,pgvector,qwen3,rag","66","64792","2023-09-14T02:05:12Z","2026-04-16T15:38:32Z","2026-04-16T09:58:43Z","GPL-3.0","945","0","0","0","ok","","",""
"comet-ml/opik","https://github.com/comet-ml/opik","https://github.com/comet-ml/opik.git","main","Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.","langchain","18870","1436","Python","evaluation,hacktoberfest,hacktoberfest2025,langchain,llama-index,llm,llm-evaluation,llm-observability,llmops,open-source,openai,playground,prompt-engineering","149","525302","2023-05-10T12:57:13Z","2026-04-16T16:35:15Z","2026-04-16T16:50:27Z","Apache-2.0","1072","458","4017","322","ok","","",""
"MODSetter/SurfSense","https://github.com/MODSetter/SurfSense","https://github.com/MODSetter/SurfSense.git","main","An open source, privacy focused alternative to NotebookLM for teams with no data limit's. Join our Discord: https://discord.gg/ejRNvftDp9","langchain, langgraph","13840","1278","Python","agent,agents,ai,chrome-extension,extension,fastapi,langchain,langgraph,nextjs,notebooklm,ollama,perplexity,python,rag,typescript","82","368624","2024-07-30T23:00:09Z","2026-04-16T15:33:46Z","2026-04-16T09:51:04Z","Apache-2.0","624","62","488","0","ok","","",""
