"full_name","clone_slug","matched_frameworks","stars","size_kb","contributors","pushed_at","description","real_ai_app","analyzed_scope","processed","clone_failed","llm_calls","llm_calls_raw","fp_dropped_calls","invokers_direct","invokers_transitive","nd_tests","nd_tests_direct","nd_tests_transitive","eval_calls","total_functions","pct_functions_direct","cg_source","graph_usable","graph_excluded_files","graph_coverage_pct","slice_status","slice_error","frameworks_imported","framework_suspect","framework_evidence","zero_invoker","zero_invoker_reason","imports_matched_fw","py_files","ipynb_files","test_files","http_llm_files","cli_llm_files","in_scope","notes"
"kdcube/kdcube-ai-app","kdcube_kdcube-ai-app","semantic_kernel","10","33119","8","2026-06-29","Ship customer-facing AI with isolation, spend controls, and provenance.","1","1","1","0","52","67","15","39","13212","3879","13","3866","0","18738","0.21","pyan_resilient","True","4","121.2","ok","","langchain_core, langgraph, semantic_kernel, langchain_openai, langchain, anthropic, openai, langchain_anthropic","0","","0","","","","","","","","0","framework, not an application: self-hosted runtime for AI applications (EXCLUSIONS §12)"
"PurpleAILAB/Decepticon","PurpleAILAB_Decepticon","langchain, langchain_anthropic, langgraph, langgraph_sdk","4534","304372","14","2026-06-29","Autonomous Hacking Agent for Red Team","1","1","1","0","49","51","2","42","8","44","36","8","0","7558","0.56","pyan_resilient","True","2","114.7","ok","","langchain_core, langchain, langgraph, litellm, langchain_openai, langchain_anthropic, openai","0","","0","","","","","","","","",""
"edictum-ai/edictum","edictum-ai_edictum","agno, crewai","28","2978","3","2026-06-20","Runtime governance for AI agents. Contracts enforce what tools can do — before they execute.","1","1","1","0","12","12","0","12","6","0","0","0","0","2830","0.42","pyan","True","0","122.8","ok","","openai, crewai, langchain, agents, semantic_kernel","0","","0","","","","","","","","",""
"codeligence/dev-agents","codeligence_dev-agents","pydantic_ai","19","687","5","2026-05-25","AI Agents for Dev Teams - Your new Digital Teammate","1","1","1","0","6","6","0","5","13","8","0","8","0","1734","0.29","pyan","True","0","109.1","ok","","pydantic_ai, agents","0","","0","","","","","","","","",""
"WenJinfeng/FaaSLight","WenJinfeng_FaaSLight","clai","14","616887","2","2025-09-05","","0","0","1","0","0","0","0","0","0","0","0","0","0","553661","0.0","none","False","0","0.0","absent","","","0","","1","framework_never_imported","","34290","1","8709","0","0","0","not an LLM app: `clai` collision token (claim/claiming); 0 calls, no LLM import"
"googleapis/python-aiplatform","googleapis_python-aiplatform","langchain, langchain_core, langgraph","900","159710","146","2026-06-29","A Python SDK for Vertex AI, a fully managed, end-to-end platform for data science and machine learning.","1","1","1","0","12","12","0","12","0","0","0","0","0","76465","0.02","none","False","1","0.0","failed","joern CPG export failed: executing C:\Users\Seth\AppData\Local\Temp\cpg_graph_ex","vertexai, langchain_core, autogen, langchain_google_genai, langchain_google_vertexai, langchain, langgraph, litellm, openai","0","","0","","","","","","","","",""
"NVIDIA/SkillSpector","NVIDIA_SkillSpector","langchain, langchain_core","11415","859","35","2026-06-28","Security scanner for AI agent skills. Detect vulnerabilities, malicious patterns, and security risks.","1","1","1","0","23","23","0","17","404","384","8","376","0","2730","0.62","pyan","True","0","123.4","ok","","langchain_core, langchain_openai, langchain_anthropic, langgraph, openai, anthropic, langchain_aws","0","","0","","","","","","","","",""
"johnson7788/MultiUserClaw","johnson7788_MultiUserClaw","honcho, mem0","282","168474","10","2026-06-27","目前OpenClaw和NanoBot都是用于个人的，不太支持多用户，基于多用户重新修改Bot，没有对Openclaw进行任何更改，原生能力封装","1","1","1","0","40","40","0","22","0","1","1","0","0","54090","0.04","none","False","2","0.0","ok","","openai, honcho, mem0, mistralai, anthropic, litellm","0","","0","","","","","","","","",""
"synaptent/aragora","synaptent_aragora","clai, crewai, swarms","10","148880","9","2026-06-29","Omnivorous Multi Agent Decision Making Engine - Ingest from any source, query from any channel, get multi-agent consensus","1","1","1","0","33","33","0","30","0","0","0","0","0","324905","0.01","none","False","0","0.0","failed","joern-parse failed","anthropic, openai, langchain, langchain_core, agents, mistralai, autogen, crewai, langgraph","0","","0","","","","","","","","",""
"Devsoul2026/Hermes-One-Click","Devsoul2026_Hermes-One-Click","honcho","146","133153","3","2026-06-29","Hermes One-Click: Windows desktop client for Hermes — one-click setup, Tauri + embedded Python. Build from source with clear docs.","1","0","1","0","34","34","0","19","0","1","1","0","0","47004","0.04","none","False","2","0.0","ok","","openai, honcho, mistralai, anthropic, mem0","0","","0","","","","","","","","",""
