clone_slug,imports
codeligence_dev-agents,pydantic_ai:16;agents:10
edictum-ai_edictum,openai:6;crewai:1;langchain:1;agents:1;semantic_kernel:1
NVIDIA_SkillSpector,langchain_core:18;langchain_openai:10;langchain_anthropic:7;langgraph:3;openai:2;anthropic:1;langchain_aws:1
PurpleAILAB_Decepticon,langchain_core:69;langchain:50;langgraph:18;litellm:11;langchain_openai:7;langchain_anthropic:1;openai:1
Yanyutin753_LambChat,langchain_core:81;langchain:30;langgraph:17;langchain_openai:5;langchain_anthropic:3;langchain_google_genai:1;openai:1
kdcube_kdcube-ai-app,langchain_core:35;langgraph:22;semantic_kernel:16;langchain_openai:6;langchain:4;anthropic:4;openai:3;langchain_anthropic:2
Purewhiter_mobilegym,openai:18;litellm:5;fireworks:1;langchain_openai:1;langgraph:1;langchain_core:1;agents:1;smolagents:1;camel:1;together:1
AsyncFuncAI_deepwiki-open,adalflow:18;openai:3;ollama:2;anthropic:1
OrionStarAI_DeepV-Ki,adalflow:12;openai:4
InternScience_InternAgent,camel:274;openai:53;agentops:13;agents:9;litellm:4;mistralai:3;anthropic:2;cohere:2;ollama:2;ragas:1;mem0:1
Super-Chain_N8N-Genie,adalflow:11;openai:1
agentguard-ai_tealtiger,haystack:11;pydantic_ai:5;langchain:4;autogen:3;crewai:3;langchain_core:3;langchain_openai:2;langgraph:2;phoenix:2;openai:1;agents:1;anthropic:1;semantic_kernel:1
tmlr-group_AlphaApollo,adalflow:12;openai:9
Devsoul2026_Hermes-One-Click,openai:21;honcho:3;mistralai:2;anthropic:1;mem0:1
ababdotai_awesome-agent-quickstart,langgraph:15;agents:14;langchain_core:9;langchain_openai:5;agno:4;langchain:4;crewai:3;smolagents:3;autogen_agentchat:2;autogen_ext:2;langchain_community:2;autogen:1;langchain_google_genai:1;semantic_kernel:1;langchain_deepseek:1;litellm:1;swarm:1
kenhuangus_ZeroTrustAgent,crewai:4;autogen:2;anthropic:2;langchain_community:2;langchain:1;langgraph:1;openai:1
pettingllms-ai_PettingLLMs,openai:11;autogen_ext:4;autogen_agentchat:3;autogen:3;vertexai:1;anthropic:1;langchain_openai:1;autogen_core:1;langchain_core:1
runagent-dev_runagent,langchain_openai:9;agno:8;openai:8;crewai:8;langchain_core:5;langgraph:4;langchain:3;langchain_community:2;autogen:2;parlant:2;autogen_agentchat:1;autogen_ext:1
johnson7788_MultiUserClaw,openai:21;honcho:3;mem0:2;mistralai:2;anthropic:1;litellm:1
datastax_astra-assistants-api,openai:54;litellm:8;agency_swarm:2
VRSEN_agency-swarm-api-railway-template,agency_swarm:6;openai:2
fetchai_innovation-lab-examples,uagents:130;openai:28;crewai:15;autogen:12;agents:11;anthropic:10;langchain_openai:6;agno:5;langchain_core:5;langchain:5;langgraph:4;pydantic_ai:4;langchain_google_genai:1;langchain_community:1;langchain_anthropic:1
huka81_decision-intelligence-runtime,langchain:1;langchain_ollama:1;langchain_core:1;openai:1;crewai:1
massgen_MassGen,openai:19;anthropic:5;litellm:4;mem0:4;autogen:3;dspy:1;langgraph:1;langchain_openai:1;langchain_core:1;smolagents:1
jchavezar_vertex-ai-samples,vertexai:177;agents:22;langchain:14;crewai:6;openai:4;langchain_google_vertexai:3;langchain_core:3;anthropic:2;langgraph:1;langchain_community:1;langchain_experimental:1
NousResearch_hermes-agent,openai:28;honcho:3;anthropic:2;langchain_openai:2;mem0:2;mistralai:2
ericjiang18_Agent-Q-Mix,agent_framework:671;autogen_core:279;langgraph:181;autogen_ext:160;autogen_agentchat:111;langchain_core:101;openai:72;semantic_kernel:24;langchain_openai:10;langchain:9;agents:8;langchain_community:7;ollama:6;anthropic:4;mem0:4;langchain_anthropic:4;graphrag:3;autogen:1;langchain_experimental:1
googleapis_python-aiplatform,vertexai:186;langchain_core:14;autogen:6;langchain_google_genai:6;langchain_google_vertexai:6;langchain:6;langgraph:6;litellm:2;openai:2
wesleysimplicio_hermes-turbo-agent,
nolabs-ai_AgentUp,crewai:5
IPADS-SAI_MobiAgent,openai:18;mem0:3;langchain_core:2;langchain_openai:2
synaptent_aragora,anthropic:21;openai:11;langchain:7;langchain_core:6;agents:1;mistralai:1;autogen:1;crewai:1;langgraph:1
upsidelab_enthusiast,langchain_core:31;openai:4;langchain_openai:2;mistralai:2;ollama:2;langchain:1;langgraph:1;langchain_anthropic:1;anthropic:1;langchain_google_genai:1;langchain_mistralai:1;langchain_ollama:1
langchain-ai_open-swe,langgraph:62;langchain_core:62;langchain:45;langchain_fireworks:3;langchain_anthropic:3;openai:2;anthropic:2;langchain_openai:2;fireworks:1
mnemosyne-oss_mnemosyne,honcho:1;mem0:1;openai:1
