"full_name","html_url","clone_url","default_branch","description","matched_frameworks","stars","forks","language","topics","open_issues","size_kb","created_at","updated_at","pushed_at","license","lifetime_days","contributors","total_commits","commits_per_month","real_ai_app","analyzed","reason"
"WenJinfeng/FaaSLight","https://github.com/WenJinfeng/FaaSLight","https://github.com/WenJinfeng/FaaSLight.git","main","","clai","14","7","Python","","2","616887","2023-01-25T02:43:45Z","2025-09-05T09:29:27Z","2025-09-05T09:29:24Z","","954","2","150","4.72","0","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"googleapis/python-aiplatform","https://github.com/googleapis/python-aiplatform","https://github.com/googleapis/python-aiplatform.git","main","A Python SDK for Vertex AI, a fully managed, end-to-end platform for data science and machine learning.","langchain, langchain_core, langgraph","900","455","Python","","311","159710","2020-09-23T15:43:39Z","2026-06-29T14:56:03Z","2026-06-29T14:55:43Z","Apache-2.0","2104","146","3563","50.8","1","1","pyan produced no usable graph (cg_source=none, 12 direct invokers, 0 transitive)"
"johnson7788/MultiUserClaw","https://github.com/johnson7788/MultiUserClaw","https://github.com/johnson7788/MultiUserClaw.git","main","目前OpenClaw和NanoBot都是用于个人的，不太支持多用户，基于多用户重新修改Bot，没有对Openclaw进行任何更改，原生能力封装","honcho, mem0","282","82","Python","","14","168474","2026-02-12T02:51:56Z","2026-06-27T01:36:57Z","2026-06-27T01:36:53Z","MIT","134","10","264","59.1","1","1","pyan produced no usable graph (cg_source=none, 22 direct invokers, 0 transitive)"
"synaptent/aragora","https://github.com/synaptent/aragora","https://github.com/synaptent/aragora.git","main","Omnivorous Multi Agent Decision Making Engine - Ingest from any source, query from any channel, get multi-agent consensus","clai, crewai, swarms","10","3","Python","","1539","148880","2026-01-01T05:08:26Z","2026-06-29T03:40:07Z","2026-06-29T14:54:55Z","MIT","179","9","14068","2357.77","1","1","pyan produced no usable graph (cg_source=none, 30 direct invokers, 0 transitive)"
"Devsoul2026/Hermes-One-Click","https://github.com/Devsoul2026/Hermes-One-Click","https://github.com/Devsoul2026/Hermes-One-Click.git","main","Hermes One-Click: Windows desktop client for Hermes — one-click setup, Tauri + embedded Python. Build from source with clear docs.","honcho","146","26","Python","","0","133153","2026-04-20T23:52:41Z","2026-06-27T04:21:30Z","2026-06-29T14:21:29Z","MIT","69","3","13","5.65","1","0","pyan produced no usable graph (cg_source=none, 19 direct invokers, 0 transitive)"
"NousResearch/hermes-agent","https://github.com/NousResearch/hermes-agent","https://github.com/NousResearch/hermes-agent.git","main","The agent that grows with you","honcho, mem0","205507","37095","Python","ai,ai-agent,ai-agents,anthropic,chatgpt,claude,claude-code,clawdbot,codex,hermes,hermes-agent,llm,moltbot,nous-research,openai,openclaw","24177","444508","2025-07-22T22:22:28Z","2026-06-29T14:55:26Z","2026-06-29T14:08:20Z","MIT","341","1837","14282","1256.48","1","1","pyan produced no usable graph (cg_source=none, 26 direct invokers, 0 transitive)"
"ericjiang18/Agent-Q-Mix","https://github.com/ericjiang18/Agent-Q-Mix","https://github.com/ericjiang18/Agent-Q-Mix.git","main","","agent_framework, agent_framework_a2a, agent_framework_ag_ui, agent_framework_ag_ui_examples, agent_framework_anthropic, agent_framework_azure_ai_search, agent_framework_azure_cosmos, agent_framework_azurefunctions, agent_framework_bedrock, agent_framework_chatkit, agent_framework_claude, agent_framework_copilotstudio, agent_framework_declarative, agent_framework_devui, agent_framework_durabletask, agent_framework_foundry_local, agent_framework_github_copilot, agent_framework_lab_gaia, agent_framework_lab_lightning, agent_framework_lab_tau2, agent_framework_mem0, agent_framework_ollama, agent_framework_orchestrations, agent_framework_purview, agent_framework_redis, autogen_agentchat, autogen_core, autogen_ext, autogen_test_utils, autogenstudio, graphrag, langgraph, langgraph_cli, langgraph_sdk, mem0","18","0","Python","","1","48269","2026-02-27T10:36:01Z","2026-06-29T02:03:56Z","2026-04-09T08:50:52Z","","40","2","27","20.25","1","1","pyan produced no usable graph (cg_source=none, 2268 direct invokers, 0 transitive)"
"aivrar/portable-hermes-agent","https://github.com/aivrar/portable-hermes-agent","https://github.com/aivrar/portable-hermes-agent.git","main","Hermes Agent made portable desktop for Windows — 100 tools, GUI, local models via LM Studio, TTS, Music, ComfyUI, workflows, tool maker. No install. No Docker. No admin rights.","honcho, mem0","179","35","Python","ai,ai-agents,desktop-app,hermes,hermes-agent,lm-studio,local-ai,music-generation,no-docker,no-install,portable,tool-making,windows,workflow-automation","0","18152","2026-03-15T23:31:44Z","2026-06-29T15:03:21Z","2026-05-22T03:35:25Z","MIT","67","146","2956","1323.58","1","1","pyan produced no usable graph (cg_source=none, 22 direct invokers, 0 transitive)"
"wesleysimplicio/hermes-turbo-agent","https://github.com/wesleysimplicio/hermes-turbo-agent","https://github.com/wesleysimplicio/hermes-turbo-agent.git","codex/hermes-agent-100x-fast","Hermes Agent 100x faster: real benchmarks, optimized hot-paths, and performance dashboard. Turbo scoring + low-latency for production-ready AI agents.","mem0","16","4","Python","","8","305035","2026-05-15T03:10:12Z","2026-06-28T16:26:56Z","2026-06-29T08:14:06Z","MIT","45","1822","9859","6572.67","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"nativ3ai/hermes-agent-camel","https://github.com/nativ3ai/hermes-agent-camel","https://github.com/nativ3ai/hermes-agent-camel.git","main","Hermes Agent fork with integrated CaMeL trust boundaries","honcho","188","19","Python","","0","69522","2026-03-18T22:40:31Z","2026-06-18T03:48:47Z","2026-05-07T20:30:11Z","MIT","49","796","6979","4272.86","1","0","pyan produced no usable graph (cg_source=none, 18 direct invokers, 0 transitive)"
