"rank","score","band","full_name","github_url","imported_by","imported_as","importer_examples","declares_package","stage1_framework","owner_matches","desc_keyword","stars","contributors","total_functions","llm_calls","invokers_direct","nd_tests","nd_tests_direct","frameworks_imported","in_scope","framework_suspect","pypi","description","score_breakdown"
"1","6","strong","pydantic/pydantic-ai-harness","https://github.com/pydantic/pydantic-ai-harness","3","pydantic_ai_harness","apache/airflow, ggozad/oterm, vcoderun/acpkit","pydantic_ai_harness","0","pydantic_ai","","613","10","4969","398","346","2208","303","pydantic_ai","","1","","Batteries for your Pydantic AI agent.","imported_by>=2:+3; owner_matches:+2; declares_own_package:+1"
"2","6","strong","pydantic/logfire","https://github.com/pydantic/logfire","38","logfire","10xHub/Agentflow, BeautyyuYanli/Kapybara, BerriAI/litellm","logfire","0","pydantic_ai","","4342","104","3473","60","55","55","55","openai, anthropic, pydantic_ai, agents, langchain, langchain_openai, langchain_core, litellm","","1","","AI observability platform for production LLM and agent systems.","imported_by>=2:+3; owner_matches:+2; declares_own_package:+1"
"3","6","strong","langchain-ai/langchain-litellm","https://github.com/langchain-ai/langchain-litellm","15","langchain_litellm","BerriAI/litellm, MODSetter/SurfSense, NVIDIA/NeMo-Agent-Toolkit","langchain_litellm","0","langchain_tests","","42","18","205","2","2","2","2","litellm, langchain_core","","1","","🦜🔗 LangChain interface to LiteLLM","imported_by>=2:+3; owner_matches:+2; declares_own_package:+1"
"4","6","strong","dynamiqs/dynamiqs","https://github.com/dynamiqs/dynamiqs","2","dynamiqs","dkweiss31/qontrol, qiboteam/qibolab","dynamiqs","0","dynamiq","","299","26","1405","0","0","0","0","","","1","","High-performance quantum systems simulation with JAX (GPU-accelerated & differentiable solvers).","imported_by>=2:+3; owner_matches:+2; declares_own_package:+1"
"5","6","strong","langchain-ai/langchain-postgres","https://github.com/langchain-ai/langchain-postgres","17","langchain_postgres","ENDEVSOLS/Long-Trainer, KruxAI/ragbuilder, RedHatInsights/tangerine-backend","langchain_postgres","0","langchain_tests","","277","30","533","0","0","0","0","langchain_core, langchain_community, langchain_openai","","1","","LangChain abstractions backed by Postgres Backend","imported_by>=2:+3; owner_matches:+2; declares_own_package:+1"
"6","5","strong","wandb/weave","https://github.com/wandb/weave","14","weave","BioGeMT/agentomics-ml, HeKun-NVIDIA/hackathon_aiqtoolkit, MervinPraison/PraisonAI-Tools","weave","0","","toolkit","1105","118","9979","111","102","3758","93","openai, litellm, agents, langchain_core, dspy, anthropic, autogen_ext, cohere, crewai, groq, mistralai, vertexai, autogen_core, autogen_agentchat, langchain_google_genai, langchain_google_vertexai, langchain_cohere, langchain_community, langchain_anthropic, langchain_openai, langchain, langchain_nvidia_ai_endpoints, smolagents","","1","","Weave is a toolkit for developing AI-powered applications, built by Weights & Biases.","imported_by>=2:+3; declares_own_package:+1; desc:toolkit:+1"
"7","5","strong","NVIDIA-NeMo/Guardrails","https://github.com/NVIDIA-NeMo/Guardrails","7","nemoguardrails","Arvo-AI/aurora, NVIDIA-AI-Blueprints/aiq, NVIDIA/NeMo-Agent-Toolkit","nemoguardrails","0","","toolkit","6587","125","9271","164","130","3596","115","langchain_core, openai, langchain, langchain_community, langchain_nvidia_ai_endpoints, langchain_openai, cohere, langgraph","","1","","NeMo Guardrails is an open-source toolkit for easily adding programmable guardrails to LLM-based conversational systems.","imported_by>=2:+3; declares_own_package:+1; desc:toolkit:+1"
"8","5","strong","modelscope/evalscope","https://github.com/modelscope/evalscope","2","evalscope","Osilly/Vision-DeepResearch, ai-bot-pro/achatbot","evalscope","0","","framework","2997","78","7340","12","11","1067","1","openai, ragas, langchain_openai, anthropic, langchain_core, langchain_huggingface, langchain_community, litellm","","1","","A streamlined and customizable framework for efficient large model (LLM, VLM, AIGC) evaluation and performance benchmarking.","imported_by>=2:+3; declares_own_package:+1; desc:framework:+1"
"9","5","strong","getsentry/sentry-python","https://github.com/getsentry/sentry-python","65","sentry_sdk","AdventurePilotDev/AdventurePilot, AleksNeStu/ai-real-estate-assistant, BerriAI/litellm","sentry_sdk","0","","sdk","2196","325","5156","444","198","197","197","agents, pydantic_ai, openai, anthropic, langchain_core, cohere, langchain, langchain_openai, langgraph, litellm, langchain_cohere, langchain_aws, langchain_mistralai, langchain_ollama, langchain_huggingface, langchain_google_vertexai, langchain_community, langchain_google_genai","","1","","The official Python SDK for Sentry.io","imported_by>=2:+3; declares_own_package:+1; desc:sdk:+1"
"10","5","strong","PrefectHQ/marvin","https://github.com/PrefectHQ/marvin","3","marvin","PyPilot-ai/PyPilot-ai, ababdotai/awesome-agent-quickstart, run-llama/llama_index","marvin","0","","library","6176","62","1105","27","26","166","11","pydantic_ai, openai, langchain_openai","","1","","an ambient intelligence library","imported_by>=2:+3; declares_own_package:+1; desc:library:+1"
