"category","full_name","github_url","matched_frameworks","frameworks_imported","zero_invoker_reason","stars","py_files","test_files","http_llm_files","cli_llm_files","total_functions","invokers_direct","nd_tests","description"
"1. not analysable (no_python_files)","erfanzar/Xerxes-Agents","https://github.com/erfanzar/Xerxes-Agents","honcho","","no_python_files","24","0","0","0","0","0","0","0","Agents for intelligence and coordination"
"1. not analysable (no_python_files)","wesleysimplicio/hermes-turbo-agent","https://github.com/wesleysimplicio/hermes-turbo-agent","mem0","","no_python_files","16","0","0","0","0","0","0","0","Hermes Agent 100x faster: real benchmarks, optimized hot-paths, and performance dashboard. Turbo scoring + low-latency for production-ready AI agents."
"2. plugin for a framework (host makes the call)","GEMILUXVII/astrbot_plugin_jm_cosmos","https://github.com/GEMILUXVII/astrbot_plugin_jm_cosmos","astrbot","astrbot","plugin","213","38","14","0","0","334","0","0","AstrBot 禁漫漫画下载插件 | 全新重构v2.x架构 | 支持搜索/详情/排行榜/推荐浏览 | 加密PDF/ZIP打包 | 账号登录与收藏夹 | 封面预览 | 代理支持"
"2. plugin for a framework (host makes the call)","Zhalslar/astrbot_plugin_parser","https://github.com/Zhalslar/astrbot_plugin_parser","astrbot","astrbot","plugin","158","51","1","0","0","624","0","0","高性能低耦合的万能链接解析器。支持的类型：视频、图集、音频。 支持的平台：A站、B站、抖音、tiktok、微博、小红书、快手、油管、推特..."
"2. plugin for a framework (host makes the call)","vmoranv-reborn/astrbot_plugin_pixiv_reborn","https://github.com/vmoranv-reborn/astrbot_plugin_pixiv_reborn","astrbot","astrbot","plugin","47","26","2","0","0","379","0","0","为astrbot提供pixiv适配,提供订阅服务,小说动图适配等"
"2. plugin for a framework (host makes the call)","0xNMLSS/astrbot_plugin_fishing","https://github.com/0xNMLSS/astrbot_plugin_fishing","astrbot","astrbot","plugin","43","123","3","0","0","1420","0","0","电子钓鱼小游戏"
"2. plugin for a framework (host makes the call)","Clhikari/astrbot_plugin_office_assistant","https://github.com/Clhikari/astrbot_plugin_office_assistant","astrbot","astrbot","plugin","38","116","15","0","0","1645","0","0","这是一个为 AstrBot 设计的 Office 助手插件。它赋予大语言模型（LLM）直接操作文件的能力，支持读取并分析多种格式文件，以及生成 Office 文档和office互转pdf的功能"
"2. plugin for a framework (host makes the call)","storyAura/astrbot_plugin_biliVideo","https://github.com/storyAura/astrbot_plugin_biliVideo","astrbot","astrbot","plugin","35","118","41","0","0","660","0","0",""
"2. plugin for a framework (host makes the call)","zouyonghe/astrbot_plugin_ebooks","https://github.com/zouyonghe/astrbot_plugin_ebooks","astrbot","astrbot","plugin","29","18","1","0","0","153","0","0","一个功能强大的电子书插件，支持多平台电子书搜索和下载。"
"2. plugin for a framework (host makes the call)","HSJ-BanFan/astrbot_plugin_telegram_forwarder","https://github.com/HSJ-BanFan/astrbot_plugin_telegram_forwarder","astrbot","astrbot","plugin","25","62","23","1","1","1113","0","0","将 Telegram 频道消息转发到 QQ 群或 Telegram 频道。                   Forward Telegram channel messages to QQ groups or Telegram channels."
