"full_name","html_url","clone_url","default_branch","description","matched_frameworks","stars","forks","language","topics","open_issues","size_kb","created_at","updated_at","pushed_at","license","lifetime_days","contributors","total_commits","commits_per_month"
"langflow-ai/langflow","https://github.com/langflow-ai/langflow","https://github.com/langflow-ai/langflow.git","main","Langflow is a powerful tool for building and deploying AI-powered agents and workflows.","crewai, langchain, langchain_anthropic, langchain_chroma, langchain_core, langchain_groq, langchain_perplexity, langchain_qdrant","150239","9365","Python","agents,chatgpt,generative-ai,large-language-models,multiagent,react-flow","967","1393524","2023-02-08T22:28:03Z","2026-06-30T14:25:16Z","2026-06-30T14:22:19Z","MIT","1237","358","18211","441.66"
"Shubhamsaboo/awesome-llm-apps","https://github.com/Shubhamsaboo/awesome-llm-apps","https://github.com/Shubhamsaboo/awesome-llm-apps.git","main","100+ AI Agent & RAG apps you can actually run — clone, customize, ship.","agno, langchain_openai","116052","17262","Python","agents,llms,python,rag","8","209258","2024-04-29T05:30:25Z","2026-06-29T18:36:29Z","2026-06-15T01:00:09Z","Apache-2.0","776","85","1028","39.74"
"TauricResearch/TradingAgents","https://github.com/TauricResearch/TradingAgents","https://github.com/TauricResearch/TradingAgents.git","main","TradingAgents: Multi-Agents LLM Financial Trading Framework","langchain, tradingagents","90193","17413","Python","agent,finance,llm,multiagent,trading","288","5058","2024-12-28T03:31:08Z","2026-07-01T17:17:28Z","2026-06-22T02:05:09Z","Apache-2.0","540","20","243","13.5"
"pathwaycom/pathway","https://github.com/pathwaycom/pathway","https://github.com/pathwaycom/pathway.git","main","Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.","langchain_core","62791","1676","Python","batch-processing,data-analytics,data-pipelines,data-processing,dataflow,etl,etl-framework,iot-analytics,kafka,machine-learning-algorithms,pathway,python,real-time,rust,stream-processing,streaming,time-series-analysis","43","144740","2022-11-27T13:01:14Z","2026-06-30T16:51:18Z","2026-06-30T15:08:35Z","NOASSERTION","1311","41","2088","47.78"
"virattt/ai-hedge-fund","https://github.com/virattt/ai-hedge-fund","https://github.com/virattt/ai-hedge-fund.git","main","An AI Hedge Fund Team","langchain_xai","60722","10735","Python","","144","3370","2024-11-29T16:30:01Z","2026-07-01T22:35:00Z","2026-06-30T15:29:58Z","MIT","577","47","856","44.51"
"bytedance/deer-flow","https://github.com/bytedance/deer-flow","https://github.com/bytedance/deer-flow.git","main","An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.","langgraph, subagents","75754","10226","Python","agent,agentic,agentic-framework,agentic-workflow,ai,ai-agents,deep-research,harness,langchain,langgraph,langmanus,llm,multi-agent,nodejs,podcast,python,superagent,typescript","984","41037","2025-05-07T02:50:19Z","2026-07-01T23:43:15Z","2026-07-01T23:43:09Z","MIT","420","299","2441","174.36"
"BerriAI/litellm","https://github.com/BerriAI/litellm","https://github.com/BerriAI/litellm.git","litellm_internal_staging","Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]","agentops, headroom, langgraph","52017","9295","Python","ai-gateway,anthropic,azure-openai,bedrock,gateway,langchain,litellm,llm,llm-gateway,llmops,mcp-gateway,openai,openai-proxy,rust,rust-ai,vertex-ai","3509","1186490","2023-07-27T00:09:52Z","2026-06-29T18:03:37Z","2026-06-29T18:02:31Z","NOASSERTION","1068","1532","40134","1127.36"
"agno-agi/agno","https://github.com/agno-agi/agno","https://github.com/agno-agi/agno.git","main","Build, run, and manage agent platforms.","agentops, agno, agui, dspy, langgraph, mem0","40899","5570","Python","agents,ai,ai-agents,developer-tools,python","951","291407","2022-05-04T15:23:02Z","2026-06-29T16:28:50Z","2026-06-29T15:59:26Z","Apache-2.0","1517","489","5780","114.3"
"langchain-ai/deepagents","https://github.com/langchain-ai/deepagents","https://github.com/langchain-ai/deepagents.git","main","The batteries-included agent harness.","langchain_anthropic, langchain_core, langchain_tests, langgraph, subagents","25456","3591","Python","ai,deepagents,langchain,langgraph,python,typescript","163","172444","2025-07-27T23:07:53Z","2026-06-30T20:54:22Z","2026-06-30T21:04:00Z","MIT","337","130","2584","230.03"
"vectorize-io/hindsight","https://github.com/vectorize-io/hindsight","https://github.com/vectorize-io/hindsight.git","main","Hindsight: Agent Memory That  Learns","crewai, haystack, langgraph","17820","1082","Python","agentic-ai,agents,ai-memory,memory","57","674146","2025-10-30T11:49:48Z","2026-06-30T18:04:13Z","2026-06-30T18:23:13Z","MIT","243","153","2010","248.15"
"microsoft/agent-lightning","https://github.com/microsoft/agent-lightning","https://github.com/microsoft/agent-lightning.git","main","The absolute trainer to light up AI agents.","agentops, autogen_core, crewai","17360","1521","Python","agent,agentic-ai,llm,mlops,reinforcement-learning","156","51858","2025-06-18T07:28:45Z","2026-06-29T15:51:57Z","2026-04-29T06:32:24Z","MIT","314","31","255","24.36"
"Arindam200/awesome-ai-apps","https://github.com/Arindam200/awesome-ai-apps","https://github.com/Arindam200/awesome-ai-apps.git","main","A collection of projects showcasing RAG, agents, workflows, and other AI use cases","agent_framework, agno, crewai, crewai_tools","12971","1657","Python","agents,ai,hacktoberfest,llm,mcp","76","473875","2025-02-16T13:57:00Z","2026-06-29T15:08:58Z","2026-06-28T17:35:57Z","MIT","497","28","520","31.39"
"Arize-ai/phoenix","https://github.com/Arize-ai/phoenix","https://github.com/Arize-ai/phoenix.git","main","AI Observability & Evaluation","crewai, langchain_anthropic, pydantic_ai","10322","946","Python","agents,ai-monitoring,ai-observability,aiengineering,anthropic,datasets,evals,langchain,llamaindex,llm-eval,llm-evaluation,llmops,llms,openai,prompt-engineering,smolagents","631","489077","2022-11-09T23:44:35Z","2026-06-29T16:27:28Z","2026-06-29T14:31:11Z","NOASSERTION","1327","197","8955","202.45"
"lastmile-ai/mcp-agent","https://github.com/lastmile-ai/mcp-agent","https://github.com/lastmile-ai/mcp-agent.git","main","Build effective agents using Model Context Protocol and simple workflow patterns","crewai, crewai_tools","8396","854","Python","agents,ai,ai-agents,llm,llms,mcp,model-context-protocol,python","140","27351","2024-12-18T01:55:10Z","2026-06-30T14:27:30Z","2026-01-25T16:35:16Z","Apache-2.0","403","60","767","57.1"
"traceloop/openllmetry","https://github.com/traceloop/openllmetry","https://github.com/traceloop/openllmetry.git","main","Open-source observability for your GenAI or LLM application, based on OpenTelemetry","agno, crewai","7247","1009","Python","artifical-intelligence,datascience,generative-ai,good-first-issue,good-first-issues,help-wanted,llm,llmops,metrics,ml,model-monitoring,monitoring,observability,open-source,open-telemetry,opentelemetry,opentelemetry-python,python","580","67319","2023-09-02T14:42:59Z","2026-06-29T14:18:30Z","2026-06-28T12:36:46Z","Apache-2.0","1029","109","1411","41.14"
"xtekky/gpt4free","https://github.com/xtekky/gpt4free","https://github.com/xtekky/gpt4free.git","main","The official gpt4free repository | various collection of powerful language models | opus 4.6 gpt 5.3 kimi 2.5 deepseek v3.2 gemini 3","pydantic_ai","66460","13563","Python","chatbot,chatbots,chatgpt,chatgpt-4,chatgpt-api,chatgpt-free,chatgpt4,deepseek,deepseek-api,deepseek-r1,gpt,gpt-4,gpt-4o,gpt4,gpt4-api,language-model,openai,openai-api,openai-chatgpt,reverse-engineering","4","171677","2023-03-29T17:00:43Z","2026-06-30T08:16:07Z","2026-06-26T02:58:20Z","GPL-3.0","1184","278","4331","109.74"
