import_name,auto_bucket,reason,distinct_repos,kept_candidates,source_frameworks
dataset,DROP,generic_or_internal,2871,53,dot-agent/nextpy
models,DROP,generic_or_internal,2861,61,Intelligent-Internet/ii-agent; LetsFG/LetsFG
google,REVIEW_provider,provider_or_tool_sdk,2828,91,livekit/agents
http,DROP,generic_or_internal,2822,124,microsoft/autogen
openai,REVIEW_provider,provider_or_tool_sdk,2759,109,AgentOps-AI/agentops; lavague-ai/LaVague; livekit/agents; microsoft/autogen
prompts,DROP,generic_or_internal,2750,85,Intelligent-Internet/ii-agent; samugit83/redamon
client,DROP,generic_or_internal,2708,85,ZHangZHengEric/Sage; patched-codes/patchwork
agents,KEEP,matches_source_repo,2706,119,AgentOps-AI/agentops; Giskard-AI/giskard-oss; livekit/agents; openai/openai-agents-python
evaluation,REVIEW,unclassified,2701,88,SolaceLabs/solace-agent-mesh
llm,REVIEW,unclassified,2691,99,Giskard-AI/giskard-oss; dot-agent/nextpy
gemini,REVIEW_provider,provider_or_tool_sdk,2654,38,lavague-ai/LaVague
core,DROP,generic_or_internal,2653,147,Giskard-AI/giskard-oss; lavague-ai/LaVague; polyuiislab/infiAgent
eval,REVIEW,unclassified,2646,81,i-am-bee/beeai-framework
groq,REVIEW_provider,provider_or_tool_sdk,2642,36,livekit/agents
nltk,REVIEW_provider,provider_or_tool_sdk,2629,49,livekit/agents
api,DROP,generic_or_internal,2628,202,agent0ai/agent-zero
anthropic,REVIEW_provider,provider_or_tool_sdk,2626,141,AgentOps-AI/agentops; lavague-ai/LaVague; livekit/agents
app,DROP,generic_or_internal,2624,329,ZHangZHengEric/Sage; dot-agent/nextpy
audio,DROP,generic_or_internal,2624,53,dot-agent/nextpy
graph,DROP,generic_or_internal,2616,83,langchain-ai/langgraph
file,DROP,generic_or_internal,2598,109,dot-agent/nextpy
langchain,KEEP,known_framework,2596,65,AgentOps-AI/agentops; langchain-ai/langchain; livekit/agents; microsoft/autogen
agent,KEEP,matches_source_repo,2578,176,AgentOps-AI/agentops; langchain-ai/langgraph
cache,DROP,generic_or_internal,2560,191,lavague-ai/LaVague
base,DROP,generic_or_internal,2542,81,langchain-ai/langgraph
cli,DROP,generic_or_internal,2517,144,SolaceLabs/solace-agent-mesh; simonlin1212/TradingAgents-astock
common,DROP,generic_or_internal,2471,155,ZHangZHengEric/Sage; langchain-ai/langgraph
server,DROP,generic_or_internal,2470,105,lavague-ai/LaVague
mcp,KEEP,known_framework,2465,264,microsoft/autogen
apps,DROP,generic_or_internal,2461,58,polyuiislab/infiAgent
mapping,DROP,generic_or_internal,2445,77,dot-agent/nextpy
memory,DROP,generic_or_internal,2440,88,langchain-ai/langgraph
code,DROP,generic_or_internal,2414,60,dot-agent/nextpy
factory,DROP,generic_or_internal,2404,83,Intelligent-Internet/ii-agent
langchain_openai,KEEP,known_framework,2399,55,langchain-ai/langchain
selenium,REVIEW_provider,provider_or_tool_sdk,2382,21,lavague-ai/LaVague
mail,DROP,generic_or_internal,2376,43,dot-agent/nextpy
channels,DROP,generic_or_internal,2371,64,langchain-ai/langgraph
routers,DROP,generic_or_internal,2348,32,ZHangZHengEric/Sage
func,DROP,generic_or_internal,2333,42,langchain-ai/langgraph
embedding,DROP,generic_or_internal,2323,53,dot-agent/nextpy
runner,DROP,generic_or_internal,2307,86,FoundationAgents/MetaGPT
helpers,DROP,generic_or_internal,2302,77,agent0ai/agent-zero; samugit83/redamon
cat,REVIEW,unclassified,2270,42,cheshire-cat-ai/core
components,DROP,generic_or_internal,2251,91,mozilla-ai/any-agent
azure,REVIEW_provider,provider_or_tool_sdk,2192,46,livekit/agents; microsoft/autogen
langchain_core,KEEP,known_framework,2191,66,langchain-ai/langchain
sqlite,REVIEW_provider,provider_or_tool_sdk,2138,71,langchain-ai/langgraph
builder,DROP,generic_or_internal,2128,76,AgentOps-AI/agentops
browser,DROP,generic_or_internal,2126,67,livekit/agents
portfolio,DROP,generic_or_internal,2080,25,dot-agent/nextpy
elevenlabs,REVIEW_provider,provider_or_tool_sdk,2057,39,livekit/agents
crewai,KEEP,known_framework,2048,78,AgentOps-AI/agentops; crewAIInc/crewAI
hooks,DROP,generic_or_internal,2022,98,Intelligent-Internet/ii-agent
checks,DROP,generic_or_internal,2003,40,Giskard-AI/giskard-oss
langgraph,KEEP,known_framework,1992,79,AgentOps-AI/agentops
cohere,REVIEW_provider,provider_or_tool_sdk,1953,86,lavague-ai/LaVague
mistralai,REVIEW_provider,provider_or_tool_sdk,1921,89,livekit/agents
aws,REVIEW_provider,provider_or_tool_sdk,1918,126,livekit/agents
arxiv,REVIEW_provider,provider_or_tool_sdk,1897,66,dot-agent/nextpy
langchain_ollama,KEEP,known_framework,1881,19,langchain-ai/langchain
src,DROP,generic_or_internal,1872,77,IBM/AssetOpsBench; Intelligent-Internet/ii-agent; SolaceLabs/solace-agent-mesh; fetchai/uAgents; plastic-labs/honcho
integration,DROP,generic_or_internal,1842,87,SylphAI-Inc/AdalFlow; dot-agent/nextpy
redis,REVIEW_provider,provider_or_tool_sdk,1822,62,langchain-ai/langgraph
chunking,DROP,generic_or_internal,1799,49,AstrBotDevs/AstrBot
tools,DROP,generic_or_internal,1784,73,Intelligent-Internet/ii-agent; agent0ai/agent-zero; mozilla-ai/any-agent; patched-codes/patchwork
connector,DROP,generic_or_internal,1776,74,Intelligent-Internet/ii-agent
dev,DROP,generic_or_internal,1760,118,omnigent-ai/omnigent
langchain_groq,KEEP,known_framework,1759,9,langchain-ai/langchain
knowledge_base,REVIEW,unclassified,1752,42,dot-agent/nextpy; samugit83/redamon
langchain_huggingface,KEEP,known_framework,1752,16,langchain-ai/langchain
decorators,DROP,generic_or_internal,1724,46,cheshire-cat-ai/core
gradio,REVIEW_provider,provider_or_tool_sdk,1712,70,lavague-ai/LaVague
deepgram,REVIEW_provider,provider_or_tool_sdk,1697,44,livekit/agents
runners,DROP,generic_or_internal,1681,51,AstrBotDevs/AstrBot
shared,DROP,generic_or_internal,1677,87,langchain-ai/langgraph
langchain_text_splitters,KEEP,known_framework,1669,26,langchain-ai/langchain
fs,DROP,generic_or_internal,1664,70,dot-agent/nextpy
runs,DROP,generic_or_internal,1640,63,Intelligent-Internet/ii-agent
realtime,DROP,generic_or_internal,1636,29,livekit/agents
commands,DROP,generic_or_internal,1615,27,AstrBotDevs/AstrBot
retrieval,DROP,generic_or_internal,1599,11,AstrBotDevs/AstrBot
pubmed,REVIEW_provider,provider_or_tool_sdk,1586,49,dot-agent/nextpy
scan,DROP,generic_or_internal,1562,79,Giskard-AI/giskard-oss
gallery,DROP,generic_or_internal,1517,35,dot-agent/nextpy
bench,DROP,generic_or_internal,1502,152,langchain-ai/langgraph
langchain_mistralai,KEEP,known_framework,1499,22,langchain-ai/langchain
langchain_anthropic,KEEP,known_framework,1453,60,langchain-ai/langchain
haystack,KEEP,known_framework,1422,51,AgentOps-AI/agentops
