import_name,distinct_repos_matched,kept_candidates,n_source_frameworks,source_frameworks
dataset,2871,53,1,dot-agent/nextpy
models,2861,61,2,Intelligent-Internet/ii-agent; LetsFG/LetsFG
google,2828,91,1,livekit/agents
http,2822,124,1,microsoft/autogen
openai,2759,109,4,AgentOps-AI/agentops; lavague-ai/LaVague; livekit/agents; microsoft/autogen
prompts,2750,85,2,Intelligent-Internet/ii-agent; samugit83/redamon
client,2708,85,2,ZHangZHengEric/Sage; patched-codes/patchwork
agents,2706,119,4,AgentOps-AI/agentops; Giskard-AI/giskard-oss; livekit/agents; openai/openai-agents-python
evaluation,2701,88,1,SolaceLabs/solace-agent-mesh
llm,2691,99,2,Giskard-AI/giskard-oss; dot-agent/nextpy
gemini,2654,38,1,lavague-ai/LaVague
core,2653,147,3,Giskard-AI/giskard-oss; lavague-ai/LaVague; polyuiislab/infiAgent
eval,2646,81,1,i-am-bee/beeai-framework
groq,2642,36,1,livekit/agents
nltk,2629,49,1,livekit/agents
api,2628,202,1,agent0ai/agent-zero
anthropic,2626,141,3,AgentOps-AI/agentops; lavague-ai/LaVague; livekit/agents
app,2624,329,2,ZHangZHengEric/Sage; dot-agent/nextpy
audio,2624,53,1,dot-agent/nextpy
graph,2616,83,1,langchain-ai/langgraph
file,2598,109,1,dot-agent/nextpy
langchain,2596,65,4,AgentOps-AI/agentops; langchain-ai/langchain; livekit/agents; microsoft/autogen
agent,2578,176,2,AgentOps-AI/agentops; langchain-ai/langgraph
cache,2560,191,1,lavague-ai/LaVague
base,2542,81,1,langchain-ai/langgraph
cli,2517,144,2,SolaceLabs/solace-agent-mesh; simonlin1212/TradingAgents-astock
common,2471,155,2,ZHangZHengEric/Sage; langchain-ai/langgraph
server,2470,52,1,lavague-ai/LaVague
mcp,2465,264,1,microsoft/autogen
apps,2461,58,1,polyuiislab/infiAgent
mapping,2445,77,1,dot-agent/nextpy
memory,2440,88,1,langchain-ai/langgraph
code,2414,60,1,dot-agent/nextpy
factory,2404,83,1,Intelligent-Internet/ii-agent
langchain_openai,2399,55,1,langchain-ai/langchain
selenium,2382,10,1,lavague-ai/LaVague
mail,2376,43,1,dot-agent/nextpy
channels,2371,64,1,langchain-ai/langgraph
routers,2348,32,1,ZHangZHengEric/Sage
func,2333,42,1,langchain-ai/langgraph
embedding,2323,53,1,dot-agent/nextpy
runner,2307,50,1,FoundationAgents/MetaGPT
helpers,2302,77,2,agent0ai/agent-zero; samugit83/redamon
cat,2270,42,1,cheshire-cat-ai/core
components,2251,91,1,mozilla-ai/any-agent
azure,2192,46,2,livekit/agents; microsoft/autogen
langchain_core,2191,66,1,langchain-ai/langchain
sqlite,2138,26,1,langchain-ai/langgraph
builder,2128,76,1,AgentOps-AI/agentops
browser,2126,67,1,livekit/agents
portfolio,2080,25,1,dot-agent/nextpy
elevenlabs,2057,39,1,livekit/agents
crewai,2048,78,2,AgentOps-AI/agentops; crewAIInc/crewAI
hooks,2022,98,1,Intelligent-Internet/ii-agent
checks,2003,40,1,Giskard-AI/giskard-oss
langgraph,1992,79,1,AgentOps-AI/agentops
cohere,1953,86,1,lavague-ai/LaVague
mistralai,1921,89,1,livekit/agents
aws,1918,126,1,livekit/agents
arxiv,1897,66,1,dot-agent/nextpy
langchain_ollama,1881,19,1,langchain-ai/langchain
src,1872,24,5,IBM/AssetOpsBench; Intelligent-Internet/ii-agent; SolaceLabs/solace-agent-mesh; fetchai/uAgents; plastic-labs/honcho
integration,1842,87,2,SylphAI-Inc/AdalFlow; dot-agent/nextpy
redis,1822,62,1,langchain-ai/langgraph
chunking,1799,49,1,AstrBotDevs/AstrBot
tools,1784,39,4,Intelligent-Internet/ii-agent; agent0ai/agent-zero; mozilla-ai/any-agent; patched-codes/patchwork
connector,1776,74,1,Intelligent-Internet/ii-agent
dev,1760,118,1,omnigent-ai/omnigent
langchain_groq,1759,9,1,langchain-ai/langchain
knowledge_base,1752,42,2,dot-agent/nextpy; samugit83/redamon
langchain_huggingface,1752,16,1,langchain-ai/langchain
decorators,1724,46,1,cheshire-cat-ai/core
gradio,1712,70,1,lavague-ai/LaVague
deepgram,1697,44,1,livekit/agents
runners,1681,29,1,AstrBotDevs/AstrBot
shared,1677,42,1,langchain-ai/langgraph
langchain_text_splitters,1669,26,1,langchain-ai/langchain
fs,1664,70,1,dot-agent/nextpy
runs,1640,27,1,Intelligent-Internet/ii-agent
realtime,1636,29,1,livekit/agents
commands,1615,27,1,AstrBotDevs/AstrBot
retrieval,1599,11,1,AstrBotDevs/AstrBot
pubmed,1586,49,1,dot-agent/nextpy
scan,1562,31,1,Giskard-AI/giskard-oss
gallery,1517,35,1,dot-agent/nextpy
bench,1502,152,1,langchain-ai/langgraph
langchain_mistralai,1499,22,1,langchain-ai/langchain
langchain_anthropic,1453,60,1,langchain-ai/langchain
haystack,1422,51,1,AgentOps-AI/agentops
nvidia,1405,77,1,livekit/agents
langchain_chroma,1400,14,1,langchain-ai/langchain
qa,1389,45,1,lavague-ai/LaVague
parsers,1388,23,1,AstrBotDevs/AstrBot
fal,1384,66,1,livekit/agents
mem0,1380,77,1,AgentOps-AI/agentops
perplexity,1361,65,1,livekit/agents
playwright,1328,35,1,lavague-ai/LaVague
dspy,1297,62,1,AgentOps-AI/agentops
web_search,1283,32,1,SolaceLabs/solace-agent-mesh
pydantic_ai,1281,80,1,pydantic/pydantic-ai
ibm_watsonx_ai,1279,42,1,AgentOps-AI/agentops
contexts,1276,55,1,lavague-ai/LaVague
plans,1212,53,1,Intelligent-Internet/ii-agent
actor,1205,71,1,dot-agent/nextpy
postgres,1197,39,1,langchain-ai/langgraph
camel,1179,38,1,camel-ai/camel
fireworks,1168,51,1,lavague-ai/LaVague
cartesia,1166,55,1,livekit/agents
hamming,1147,21,1,livekit/agents
assemblyai,1137,16,1,livekit/agents
servers,1134,17,1,samugit83/redamon
stream,1099,8,1,langchain-ai/langgraph
crewai_tools,1091,18,1,crewAIInc/crewAI
requirement,1086,24,1,i-am-bee/beeai-framework
