"full_name","github_url","import_token","importer_count","importer_files","importers","token_shared_with","passes_fork_check","in_scope","framework_suspect","triage_band","triage_score","stars","nd_tests","llm_calls","invokers_direct","frameworks_imported","description"
"getsentry/sentry-python","https://github.com/getsentry/sentry-python","sentry_sdk","65","749","AdventurePilotDev/AdventurePilot; AleksNeStu/ai-real-estate-assistant; BerriAI/litellm; BluePilotDev/bluepilot; City-of-Helsinki/linkedevents; Edraak/edraak-platform; EfficientAI-tech/efficientAI; ExtensionShield/ExtensionShield; GetBindu/Bindu; HUST-AI-HYZ/MemoryAgentBench; Linaro/lava; MGdaasLab/WHartTest; ProzorroUKR/openprocurement.api; Scale3-Labs/langtrace-python-sdk; Significant-Gravitas/AutoGPT; Tencent/AI-Infra-Guard; Tobi-De/cookiecutter-fastapi; TracecatHQ/tracecat; Upsonic/Upsonic; Vocab-Apps/anki-hyper-tts; Yagami360/ai-product-dev-tips; ae-utbm/sith; airblackbox/airblackbox; apache/airflow; avibe-bot/avibe; baserow/baserow; canvas-medical/canvas-plugins; coleam00/ottomator-agents; comet-ml_opik; crestalnetwork/intentkit; dimagi/commcare-hq; dimagi/open-chat-studio; fedora-copr/logdetective; future-agi/future-agi; getsentry/sentry; gip-inclusion/les-emplois; gizmax/Sandcastle; hongbo-miao/hongbomiao.com; imbue-ai/mngr; jst-seminar-rostlab-tum/personio-foundation-coachai; koldakov/futuramaapi; kungfuai/CVlization; langflow-ai/langflow; microsoft/agent-governance-toolkit; msqd/harp; musicmonk42/The_Code_Factory_Working_V2; packit/ai-workflows; pipecat-ai/pipecat; potpie-ai/potpie; pyinstaller/pyinstaller-hooks-contrib; rand/cc-polymath; rush86999/atom; srtab/daiv; suitenumerique/conversations; sunnypilot/sunnypilot; synaptent/aragora; tejoesperanto/pasportaservo; temporalio/samples-python; theexperiencecompany/gaia; ui-insight/vandalizer; urstory/urstory-rag; vibesurf-ai/VibeSurf; wandb/weave; wechange-eg/cosinnus-core; yaal-coop/canaille","","1","","1","strong","5","2196","197","444","198","agents, pydantic_ai, openai, anthropic, langchain_core, cohere, langchain, langchain_openai, langgraph, litellm, langchain_cohere, langchain_aws, langchain_mistralai, langchain_ollama, langchain_huggingface, langchain_google_vertexai, langchain_community, langchain_google_genai","The official Python SDK for Sentry.io"
"haohervchb/GooseLLM","https://github.com/haohervchb/GooseLLM","vllm","63","928","5zjk5/prompt-engineering; Alex8791-cyber/cognithor; BerriAI/litellm; DataDog/dd-trace-py; EfficientAI-tech/efficientAI; FanDongzhe123/RAGSearch; FusionBrainLab/gigaevo-core; HUST-AI-HYZ/MemoryAgentBench; IBM/ares; IINemo/lm-polygraph; InfiAgent/InfiAgent; InternLM/xtuner; InternScience/InternAgent; InternScience/SciEvalKit; InternScience/SciReason; JetAstra/SDAR; Jize-W/RouteMoA; MINDS-THU/HAMLET; ML-GSAI/LLaDA; Osilly/Vision-DeepResearch; Purewhiter/mobilegym; StonyBrookNLP/appworld; The-Swarm-Corporation/ClawSwarm; TsinghuaDatabaseGroup/DB-GPT; Upsonic/Upsonic; XinXU-USTC/Composition-RL; af-74413592/DeepWerewolf; agiresearch/AIOS; agno-agi_agno; ai-bot-pro/achatbot; areal-project/AReaL; chengzi0103/SoulSpeak; davidmonterocrespo24/DaveAgent; eval-protocol/python-sdk; gabrielmoreira/agent-skills-mirror; hpcaitech/ColossalAI; jiangxxxue/KOCO-bench; kfq20/AEGIS; kungfuai/CVlization; ltjed/multiagent-coaching; lupantech/AgentFlow; lupantech/Eubiota; marcelo-earth/generative-manim; marieai/marie-ai; microsoft/agent-lightning; modaic-ai/modaic; open-compass/GTA; open-compass/opencompass; oracle-devrel/technology-engineering; pettingllms-ai/PettingLLMs; pprp/ACBench; run-llama/llama_index; s-nlp/AdaRAGUE; sands-lab/FOCUS; shellphish/artiphishell; tmlr-group/AlphaApollo; uiuc-kang-lab/text_to_sql_benchmarks; wenhaochai/aurora; yjyddq/DARE; zbambergerNLP/state-of-thoughts; zikuicai/aegisllm; zjunlp/LightMem; zjunlp/MemBase","","0","","0","likely","3","14","232","433","280","openai, anthropic, langchain_core, langchain_community, langchain_openai, cohere, lagent","1CatV2 with TileLANG written FA-v100 and many goodies"
"huggingface/diffusers","https://github.com/huggingface/diffusers","diffusers","39","7340","1170300714/Local-DPO; 360CVGroup/FLUX-Makeup; CAI-testbooks/LLM-Course; Capsize-Games/airunner; EnVision-Research/DualCamCtrl; GVCLab/GSFixer; JJLibra/CC-Pan; KOSASIH/nexus-revoluter; MingXiangL/Teacache-xDiT; Osilly/Vision-DeepResearch; Purewhiter/mobilegym; SkyworkAI/Matrix-3D; TIGER-AI-Lab/Context-Forcing; Yuliang-Liu/AlphaOracle; agiresearch/Cerebrum; ai-bot-pro/achatbot; airblackbox/airblackbox; bghira/SimpleTuner; bytedance/Video-As-Prompt; cvlab-kaist/APPLE; guaardvark/guaardvark; hongbo-miao/hongbomiao.com; hpcaitech/ColossalAI; huggingface/optimum-habana; hustvl/Turbo-VAED; jeremiedecock/snippets; jiangxxxue/KOCO-bench; kungfuai/CVlization; mlflow/mlflow; modbender/skill-library-mcp; opea-project/GenAIComps; open-compass/GTA; promptdriven/pdd; sands-lab/FOCUS; vipshop/cache-dit; vita-epfl/Stable-Video-Infinity; wenhaochai/aurora; xiaomi-research/drivelaw; yfyang007/RealRestorer","","1","","1","likely","4","33955","0","0","0","","🤗 Diffusers: State-of-the-art diffusion models for image, video, and audio generation in PyTorch."
"pydantic/logfire","https://github.com/pydantic/logfire","logfire","38","243","10xHub/Agentflow; BeautyyuYanli/Kapybara; BerriAI/litellm; DeytaHQ/khora; PrefectHQ/marvin; Skyvern-AI/skyvern; SuperagenticAI/superqode; basicmachines-co/basic-memory; braintrustdata/braintrust-sdk-python; cladius/agentic-ai; coleam00/ottomator-agents; comet-ml_opik; dhruv-ahuja/backend_burger; facebookresearch/prompt-siren; ggozad/haiku.rag; ilanbenb/wa_llm; indexedlabs/pydantic-ai-gepa; kayba-ai/agentic-context-engine; m7mdhka/pydantic-ai-production-ready-template; martinapugliese/askademic; massgen/MassGen; mixseek/mixseek-core; monarch-initiative/aurelian; mxgoai/mxgo-core; nfraxlab/ai-infra; phil65/agentpool; posit-dev/py-shiny; prebid/salesagent; pydantic/pydantic-ai-harness; shotgun-sh/shotgun; soliplex/soliplex; sourangshupal/Agentic-RAG-project; timbal-ai/timbal; timescale/tiger-slack; unoplat/unoplat-code-confluence; vladkesler/initrunner; vstorm-co/pydantic-deepagents; yaalalabs/agent-kernel","","1","","1","strong","6","4342","55","60","55","openai, anthropic, pydantic_ai, agents, langchain, langchain_openai, langchain_core, litellm","AI observability platform for production LLM and agent systems."
"elevenlabs/elevenlabs-python","https://github.com/elevenlabs/elevenlabs-python","elevenlabs","30","48","Devsoul2026/Hermes-One-Click; NousResearch/hermes-agent; PostHog/posthog; Shubhamsaboo/awesome-llm-apps; Significant-Gravitas/AutoGPT; THUIR/MemoryBench; agno-agi_agno; aivrar/portable-hermes-agent; arc53/DocsGPT; cel-ai/celai; cladius/agentic-ai; dimagi/open-chat-studio; fetchai/uAgent-Examples; future-agi/future-agi; johnson7788/MultiUserClaw; joinly-ai/joinly; langflow-ai/langflow; langwatch/scenario; massgen/MassGen; modbender/skill-library-mcp; nativ3ai/hermes-agent-camel; nfraxlab/ai-infra; peteromallet/Arnold; run-llama/llama_index; rungalileo/sdk-examples; rush86999/atom; shellphish/artiphishell; synaptent/aragora; usemoss/moss; vibesurf-ai/VibeSurf","","1","","1","strong","5","3014","0","0","0","","The official Python SDK for the ElevenLabs API."
"PostHog/posthog-python","https://github.com/PostHog/posthog-python","posthog","27","8859","CharlesQ9/HistAgent; DemonDamon/AgenticX; EpicStaff/EpicStaff; HUST-AI-HYZ/MemoryAgentBench; MODSetter/SurfSense; Open-Source-Legal/OpenContracts; PostHog/posthog; Rvosy/Sakura; Significant-Gravitas/AutoGPT; Skyvern-AI/skyvern; THUIR/MemoryBench; Tencent/AI-Infra-Guard; baserow/baserow; boringdata/kurt-core; conveyordata/data-product-portal; eidolon-ai/eidolon; entropy-research/Devon; future-agi/future-agi; hidai25/eval-view; minitap-ai/mobile-use; open-jarvis/OpenJarvis; shotgun-sh/shotgun; suitenumerique/conversations; theexperiencecompany/gaia; vibesurf-ai/VibeSurf; zjunlp/LightMem; zjunlp/MemBase","PostHog/posthog","1","","0","likely","4","59","142","160","148","openai, anthropic, langchain_core, agents, litellm, langchain_openai, langgraph, langchain, autogen_agentchat, autogen_ext, crewai, dspy, pydantic_ai, semantic_kernel, smolagents, langchain_community, langchain_anthropic","Send usage data from your Python code to PostHog."
"PostHog/posthog","https://github.com/PostHog/posthog","posthog","27","217","CharlesQ9/HistAgent; DemonDamon/AgenticX; EpicStaff/EpicStaff; HUST-AI-HYZ/MemoryAgentBench; MODSetter/SurfSense; Open-Source-Legal/OpenContracts; PostHog/posthog-python; Rvosy/Sakura; Significant-Gravitas/AutoGPT; Skyvern-AI/skyvern; THUIR/MemoryBench; Tencent/AI-Infra-Guard; baserow/baserow; boringdata/kurt-core; conveyordata/data-product-portal; eidolon-ai/eidolon; entropy-research/Devon; future-agi/future-agi; hidai25/eval-view; minitap-ai/mobile-use; open-jarvis/OpenJarvis; shotgun-sh/shotgun; suitenumerique/conversations; theexperiencecompany/gaia; vibesurf-ai/VibeSurf; zjunlp/LightMem; zjunlp/MemBase","PostHog/posthog-python","1","","0","likely","4","35226","237","371","347","langchain_core, openai, langgraph, anthropic, litellm, langchain_openai, langchain_anthropic, langchain, langchain_community","🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data"
"mongodb/motor","https://github.com/mongodb/motor","motor","22","127","AgentToolkit/agent-mentor; Azure-Samples/autoauth-solution-accelerator; BG8CFB/TradingAgents-CN; LangConfig/langconfig; MervinPraison/PraisonAI-Tools; ProzorroUKR/openprocurement.api; Rimuwu/DinoGochi; Tobi-De/cookiecutter-fastapi; Upsonic/Upsonic; Yanyutin753/LambChat; accelero-cloud/appkernel; agno-agi_agno; dhruv-ahuja/backend_burger; eidolon-ai/eidolon; hasanmehediii/CSE-2216-Project; hsliuping/TradingAgents-CN; notadev-iamaura/OneRAG; opea-project/GenAIComps; shellphish/artiphishell; synaptent/aragora; theexperiencecompany/gaia; ui-insight/vandalizer","","1","","1","likely","4","2530","0","0","0","","Motor - the async Python driver for MongoDB and Tornado or asyncio"
"larksuite/oapi-sdk-python","https://github.com/larksuite/oapi-sdk-python","lark_oapi","22","81","AIAsys/AIASys; Citrus-bit/Anaxa; DemonDamon/AgenticX; Devsoul2026/Hermes-One-Click; EvoScientist/EvoScientist; HKUDS/Vibe-Trading; NousResearch/hermes-agent; Shy2593666979/AgentChat; Wh1isper/ya-mono; Yanyutin753/LambChat; agentscope-ai/agentscope; aivrar/portable-hermes-agent; avibe-bot/avibe; bytedance/deer-flow; gabrielmoreira/agent-skills-mirror; johnson7788/MultiUserClaw; jxxghp/MoviePilot; malue-ai/dazee-small; modbender/skill-library-mcp; nativ3ai/hermes-agent-camel; shibing624/agentica; volcengine/veadk-python","","1","","1","strong","5","528","0","0","0","","Larksuite development interface SDK"
"sands-lab/FOCUS","https://github.com/sands-lab/FOCUS","lmdeploy","17","935","FanDongzhe123/RAGSearch; InternLM/InternLM; InternLM/lmdeploy; InternLM/xtuner; InternScience/SciEvalKit; InternScience/SciReason; JetAstra/SDAR; Jize-W/RouteMoA; ML-GSAI/LLaDA; MigoXLab/dingo; Osilly/Vision-DeepResearch; haohervchb/GooseLLM; jiangxxxue/KOCO-bench; open-compass/GTA; open-compass/opencompass; pprp/ACBench; yjyddq/DARE","InternLM/lmdeploy","0","","0","likely","3","16","166","283","234","openai, lagent, anthropic, zhipuai, langchain, dashscope, dspy, litellm, vertexai, ollama","[ICML 2026] Official implementation of ""FOCUS: DLLMs Know How to Tame Their Compute Bound""."
