framework,pattern,receiver_root,calls
agno,.run,agent,1314
agno,.arun,agent,523
openai,chat.completions.create,client,372
agno,.run,team,315
agno,.run,workflow,314
openai,chat.completions.create,self,261
langchain_core,.run,asyncio,234
langgraph,.invoke,agent,221
agents,Runner.run,Runner,220
agno,.print_response,agent,165
agno,.arun,team,163
agno,.aprint_response,agent,129
pydantic_ai,.run,agent,125
agno,.arun,workflow,122
crewai,.kickoff,crew,111
openai,chat.completions.create,openai_client,99
langchain,.run,asyncio,88
anthropic,messages.create,client,84
agno,.run,asyncio,79
langgraph,.ainvoke,graph,76
camel,.step,self,67
langgraph,.invoke,graph,62
langchain_core,.run,sandbox,60
agno,.run,structured_output_agent,55
agent_framework,.run,workflow,53
openai,responses.create,client,50
langchain_core,.run,driver,47
agno,.run,self,45
crewai,.call,mock,45
anthropic,messages.create,self,44
langgraph,.invoke,llm,42
agent_framework,.run,self,41
langchain_core,.generate,self,40
agent_framework,.run,agent,39
langchain_core,.invoke,chain,38
langchain_core,.ainvoke,tool,37
mem0,.add,self,37
langgraph,.stream,client,36
mem0,.search,self,36
smolagents,.run,agent,35
pydantic_ai,.run_sync,agent,33
agno,.arun,self,32
agno,.run,wf,32
langgraph,.astream,agent,31
langgraph,.invoke,read_file_tool,31
langchain,.predict,pyfunc_loaded_model,31
langchain_core,.invoke,self,30
langgraph,.ainvoke,agent,30
agno,.run,outer,30
agents,Runner.run_sync,Runner,29
agno,.run,test_team,29
pydantic_ai,.run_stream,agent,28
agno,.arun,agent_mock,26
haystack,.run,pipe,26
anthropic,messages.create,anthropic_client,25
agno,.run,test_agent,25
agno,.run,guided_output_agent,25
langgraph,.invoke,grep_search_tool,24
langchain,.invoke,loaded_model,24
langchain,.invoke,agent,22
openai,responses.create,self,22
crewai,.kickoff,flow,22
langgraph,.invoke,self,21
openai,completions.create,client,21
openai,responses.create,registered_openai_client,21
langchain_core,.invoke,tool,20
camel,.step,agent,20
langchain,.invoke,model,20
agno,.run,reasoning_agent,19
agno,.arun,wf,19
langchain_openai,.run,asyncio,19
langchain_core,.invoke,invoker,18
langchain_openai,.invoke,llm,18
openai,chat.completions.create,registered_openai_client,18
langchain_google_genai,.invoke,llm,17
agno,.arun,reasoning_agent,17
autogen_agentchat,.run_stream,agent,17
openai,chat.completions.create,registered_xai_client,17
agents,Runner.run_streamed,Runner,16
langchain_core,.invoke,template,16
langchain_anthropic,.invoke,model_with_tools,16
openai,chat.completions.parse,self,16
pydantic_ai,.run,asyncio,15
agno,.arun,async_test_agent,15
langgraph,.invoke,parent_agent,15
langchain,.invoke,chain,15
agent_framework,.run,asyncio,15
langgraph,.ainvoke,subgraph,15
openai,chat.completions.parse,client,14
agno,.aprint_response,team,14
agno,.print_response,reasoning_agent,14
autogen_agentchat,.run,agent,14
pydantic_ai,.run,marvin,14
anthropic,messages.create,registered_anthropic_client,14
crewai,.call,llm,14
langgraph,.ainvoke,self,13
agno,.run,sandbox,13
agno,.arun,async_test_team,13
agno,.run,eval,13
langgraph,.ainvoke,grep_search_tool,13
langgraph,.invoke,glob_search_tool,13
langchain,.invoke,_make_agent,13
haystack,.run,toolset,13
openai,chat.completions.create,async_openai_client,13
haystack,.run,self,13
langchain_core,.ainvoke,<expr>,13
langchain_aws,.invoke,registered_bedrock_client,13
langchain,.call,tool,13
langchain_core,.ainvoke,self,12
anthropic,messages.stream,client,12
agno,.aprint_response,workflow,12
agno,.run,subprocess,12
openai,responses.create,openai_client,12
langchain_core,.ainvoke,llm,12
langchain_core,.generate,wrapper,11
langchain,.ainvoke,graph,11
agno,.run,chat_agent,11
langchain_openai,.ainvoke,self,11
autogen_agentchat,.run_stream,team,11
openai,responses.create,registered_async_openai_client,11
pydantic_ai,.run,source,11
langchain_core,.run,subprocess,10
langchain,.ainvoke,agent,10
langgraph,.astream,graph,10
langchain,.invoke,graph,10
anthropic,messages.stream,self,10
langchain_core,.ainvoke,tools,10
