"full_name","html_url","description","matched_query","homepage","owner_login","owner_type","stars","forks","watchers","subscribers_count","network_count","language","import_names","topics","open_issues","size_kb","default_branch","visibility","is_template","allow_forking","has_issues","has_projects","has_wiki","has_pages","has_discussions","has_downloads","has_ci","created_at","updated_at","pushed_at","latest_default_branch_commit_date","archived","disabled","fork","license","contributors_count","test_file_count","test_function_count","clone_url"
"langchain-ai/langchain","https://github.com/langchain-ai/langchain","The agent engineering platform.","AI agent framework stars:>=1000 language:Python","https://docs.langchain.com/langchain/","langchain-ai","Organization","140451","23311","140451","892","23311","Python","langchain;langchain_anthropic;langchain_chroma;langchain_classic;langchain_core;langchain_deepseek;langchain_exa;langchain_fireworks;langchain_groq;langchain_huggingface;langchain_mistralai;langchain_model_profiles;langchain_nomic;langchain_ollama;langchain_openai;langchain_openrouter;langchain_perplexity;langchain_qdrant;langchain_tests;langchain_text_splitters;langchain_xai","agents,ai,ai-agents,anthropic,chatgpt,deepagents,enterprise,framework,gemini,generative-ai,langchain,langgraph,llm,multiagent,open-source,openai,pydantic,python,rag,typescript","413","580687","master","public","False","True","True","False","False","False","True","True","True","2022-10-17T02:58:36Z","2026-06-29T07:14:02Z","2026-06-29T05:21:15Z","2026-06-29T05:21:12Z","False","False","False","MIT","3691","565","5217","https://github.com/langchain-ai/langchain.git"
"FoundationAgents/MetaGPT","https://github.com/FoundationAgents/MetaGPT","🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming","AI agent framework stars:>=1000 language:Python","https://atoms.dev/","FoundationAgents","Organization","69099","8818","69099","911","8818","Python","metagpt;runner","agent,gpt,llm,metagpt,multi-agent","136","184037","main","public","False","True","True","True","True","False","False","True","True","2023-06-30T09:04:55Z","2026-06-29T06:51:20Z","2026-01-21T10:12:33Z","2026-01-21T10:12:32Z","False","False","False","MIT","148","248","752","https://github.com/FoundationAgents/MetaGPT.git"
"microsoft/autogen","https://github.com/microsoft/autogen","A programming framework for agentic AI","AI agent framework stars:>=1000 language:Python","https://microsoft.github.io/autogen/","microsoft","Organization","59338","8942","59338","526","8942","Python","agbench;autogen_agentchat;autogen_core;autogen_ext;autogen_test_utils;autogenstudio;azure;code_execution;component_schema_gen;file_surfer;graphrag;http;langchain;magentic_one;magentic_one_cli;mcp;openai;pyautogen;semantic_kernel;video_surfer;web_surfer","agentic,agentic-agi,agents,ai,autogen,autogen-ecosystem,chatgpt,framework,llm-agent,llm-framework","922","148692","main","public","False","True","True","True","False","True","True","True","True","2023-08-18T11:43:45Z","2026-06-29T06:58:36Z","2026-04-15T11:59:09Z","2026-04-06T22:35:32Z","False","False","False","CC-BY-4.0","533","99","1192","https://github.com/microsoft/autogen.git"
"crewAIInc/crewAI","https://github.com/crewAIInc/crewAI","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","AI agent framework stars:>=1000 language:Python","https://crewai.com","crewAIInc","Organization","54529","7638","54529","383","7638","Python","crewai;crewai_cli;crewai_core;crewai_devtools;crewai_files;crewai_tools","agents,ai,ai-agents,aiagentframework,llms","579","267106","main","public","False","True","True","True","False","True","True","True","True","2023-10-27T03:26:59Z","2026-06-29T07:14:30Z","2026-06-28T05:26:35Z","2026-06-27T06:50:32Z","False","False","False","MIT","301","281","5161","https://github.com/crewAIInc/crewAI.git"
"headroomlabs-ai/headroom","https://github.com/headroomlabs-ai/headroom","Compress tool outputs, logs, files, and RAG chunks before they reach the LLM. 60-95% fewer tokens, same answers. Library, proxy, MCP server.","LLM agent library stars:>=1000 language:Python","https://headroomlabs-ai.github.io/headroom/","headroomlabs-ai","Organization","53344","3819","53344","163","3819","Python","agent_evals;e2e;headroom;headroom_oauth2;headroom_retrieve","agent,ai,anthropic,claude-code,compression,context-engineering,context-window,cursor,fastapi,langchain,llm,mcp,openai,prompt-engineering,proxy,python,rag,token-optimization,tokens,typescript","420","57374","main","public","False","True","True","True","True","True","True","True","True","2026-01-07T19:58:51Z","2026-06-29T07:47:44Z","2026-06-29T05:37:05Z","2026-06-29T05:36:41Z","False","False","False","Apache-2.0","150","483","7612","https://github.com/headroomlabs-ai/headroom.git"
"langchain-ai/langgraph","https://github.com/langchain-ai/langgraph","Build resilient agents.","AI agent framework stars:>=1000 language:Python","https://docs.langchain.com/oss/python/langgraph/","langchain-ai","Organization","35991","6025","35991","164","6025","Python","_internal;agent;base;bench;channels;common;conformance;func;graph;langgraph_cli;langgraph_sdk;managed;memory;postgres;prebuilt;pregel;redis;serde;shared;sqlite;stream;utils","agents,ai,ai-agents,chatgpt,deepagents,enterprise,framework,gemini,generative-ai,langchain,langgraph,llm,multiagent,open-source,openai,pydantic,python,rag","586","522312","main","public","False","True","True","True","False","True","False","True","True","2023-08-09T18:33:12Z","2026-06-29T07:07:21Z","2026-06-28T06:12:57Z","2026-06-28T06:12:55Z","False","False","False","MIT","280","168","2571","https://github.com/langchain-ai/langgraph.git"
"AstrBotDevs/AstrBot","https://github.com/AstrBotDevs/AstrBot","AI Agent Assistant & development framework that integrates lots of IM platforms, LLMs, plugins and AI feature, and can be your openclaw alternative. ✨","AI agent framework stars:>=1000 language:Python","https://astrbot.app","AstrBotDevs","Organization","35534","2455","35534","79","2455","Python","astrbot;chunking;commands;computer_tools;faiss_impl;mattermost;olayer;parsers;quoted_message;retrieval;runners;strategies;t2i;wecom_ai_bot","agent,ai,chatbot,chatgpt,discord,docker,gemini,gpt,llama,llm,mcp,openai,python,qq,qqbot,telegram","1278","68042","master","public","False","True","True","True","True","False","True","True","True","2022-12-08T13:27:46Z","2026-06-29T07:19:18Z","2026-06-28T19:22:45Z","2026-06-28T17:44:06Z","False","False","False","AGPL-3.0","309","112","1596","https://github.com/AstrBotDevs/AstrBot.git"
"openai/openai-agents-python","https://github.com/openai/openai-agents-python","A lightweight, powerful framework for multi-agent workflows","AI agent framework stars:>=1000 language:Python","https://openai.github.io/openai-agents-python/","openai","Organization","27497","4233","27497","217","4233","Python","agents","agents,ai,framework,harness,llm,openai,python","74","32702","main","public","False","True","True","False","False","True","False","True","True","2025-03-11T03:42:36Z","2026-06-29T06:21:37Z","2026-06-29T02:33:42Z","2026-06-29T02:33:41Z","False","False","False","MIT","292","260","4452","https://github.com/openai/openai-agents-python.git"
"openai/swarm","https://github.com/openai/swarm","Educational framework exploring ergonomic, lightweight multi-agent orchestration. Managed by OpenAI Solution team.","multi-agent orchestration framework stars:>=1000 language:Python","","openai","Organization","21747","2317","21747","299","2317","Python","swarm","","39","537","main","public","False","True","True","True","True","False","False","True","False","2024-02-22T20:53:54Z","2026-06-29T07:48:48Z","2026-04-15T17:10:28Z","2026-04-15T17:10:28Z","False","False","False","MIT","15","2","6","https://github.com/openai/swarm.git"
"agent0ai/agent-zero","https://github.com/agent0ai/agent-zero","Agent Zero AI framework","AI agent framework stars:>=1000 language:Python","https://agent-zero.ai","agent0ai","Organization","18251","3669","18251","290","3669","Python","_skills;api;helpers;tools","agent,ai,assistant,autonomous,linux,zero","269","58016","main","public","False","True","True","True","False","False","True","True","True","2024-06-10T09:10:45Z","2026-06-29T06:02:44Z","2026-06-26T16:04:36Z","2026-06-26T14:25:19Z","False","False","False","NOASSERTION","57","103","872","https://github.com/agent0ai/agent-zero.git"
