"category","full_name","frameworks","dep_files"
"Applications","Arize-ai/openinference","phoenix","python/examples/dspy-rag-fastapi/backend/pyproject.toml,python/instrumentation/openinference-instrumentation-agno/examples/requirements.txt,python/instrumentation/openinference-instrumentation-openlit/examples/requirements.txt,python/instrumentation/openinference-instrumentation-openllmetry/examples/requirements.txt,python/instrumentation/openinference-instrumentation-pipecat/examples/trace/requirements.txt,python/instrumentation/openinference-instrumentation-pipecat/pyproject.toml"
"Applications","Arize-ai/phoenix","phoenix","pyproject.toml"
"Applications","BjornMelin/docmind-ai-llm","ragas","pyproject.toml"
"Applications","Decade-qiu/CookHero","ragas","requirements.txt"
"Applications","RapidAI/RapidRAG","ragas","requirements.txt"
"Applications","ThalesGroup/fred","deepeval","agentic-backend/pyproject.toml"
"Applications","aws-samples/sample-agentic-platform","ragas","pyproject.toml"
"Applications","comet-ml/opik","opik,ragas","apps/opik-python-backend/requirements.txt,apps/opik-sandbox-executor-python/requirements.txt,sdks/opik_optimizer/pyproject.toml,sdks/opik_optimizer/setup.py,sdks/python/setup.py,sdks/python/tests/library_integration/metrics_with_llm_judge/requirements.txt,tests_end_to_end/test-helper-service/requirements.txt,tests_load/requirements.txt"
"Applications","meth04/vn_stock_rag","ragas","requirements.txt"
"Applications","mfmezger/conversational-agent-langchain","phoenix","pyproject.toml"
"Applications","mlflow/mlflow","deepeval,ragas","pyproject.toml"
"Applications","pipeshub-ai/pipeshub-ai","opik","backend/python/pyproject.toml,integration-tests/pyproject.toml"
"Applications","pype-ai/agensight","ragas","pyproject.toml,requirements.txt"
"Applications","yaalalabs/agent-kernel","ragas","ak-py/pyproject.toml"
"Frameworks","Giskard-AI/giskard-oss","giskard","pyproject.toml"
"Frameworks","SylphAI-Inc/AdalFlow","ragas","pyproject.toml"
"Frameworks","i-am-bee/beeai-framework","deepeval","python/pyproject.toml"
