"full_name","html_url","clone_url","default_branch","description","matched_frameworks","stars","forks","language","topics","open_issues","size_kb","created_at","updated_at","pushed_at","license","lifetime_days","contributors","total_commits","commits_per_month","real_ai_app","analyzed","reason"
"synaptent/aragora","https://github.com/synaptent/aragora","https://github.com/synaptent/aragora.git","main","Omnivorous Multi Agent Decision Making Engine - Ingest from any source, query from any channel, get multi-agent consensus","clai, crewai, swarms","10","3","Python","","1539","148880","2026-01-01T05:08:26Z","2026-06-29T03:40:07Z","2026-06-29T14:54:55Z","MIT","179","9","14068","2357.77","1","1","joern slice failed: OutOfMemoryError"
"rush86999/atom","https://github.com/rush86999/atom","https://github.com/rush86999/atom.git","main","Atom Agent, Open-Source AI Agent Platform for Self-Hosted Automation","graphrag","773","79","Python","agentic-workflow,ai,ai-agent,calendar,finance,gdrive,gmail,google-calendar,notion,productivity,scheduler,shopify,slack,tasks,zoho,zoom","0","628195","2023-01-22T15:55:04Z","2026-06-29T13:16:29Z","2026-06-29T13:15:34Z","AGPL-3.0","1253","9","8941","214.07","1","1","joern slice failed: OutOfMemoryError"
"apache/airflow","https://github.com/apache/airflow","https://github.com/apache/airflow.git","main","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows","langchain, langchain_text_splitters","45969","17307","Python","airflow,apache,apache-airflow,automation,dag,data-engineering,data-integration,data-orchestrator,data-pipelines,data-science,elt,etl,machine-learning,mlops,orchestration,python,scheduler,workflow,workflow-engine,workflow-orchestration","1696","649162","2015-04-13T18:04:58Z","2026-06-29T16:28:45Z","2026-06-29T16:28:34Z","Apache-2.0","4094","4464","39442","289.02","1","1","joern slice failed: OutOfMemoryError"
"modbender/skill-library-mcp","https://github.com/modbender/skill-library-mcp","https://github.com/modbender/skill-library-mcp.git","main","An MCP server that provides on-demand skill loading for AI coding assistants.","honcho, langgraph","10","3","Python","","3","176310","2026-02-14T08:11:50Z","2026-06-24T18:47:07Z","2026-06-16T12:58:45Z","MIT","122","2","46","11.31","1","1","joern slice failed: joern-parse failed"
"Azure/azure-sdk-for-python","https://github.com/Azure/azure-sdk-for-python","https://github.com/Azure/azure-sdk-for-python.git","main","This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting our public developer docs at https://learn.microsoft.com/python/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-python. ","camel","5568","3315","Python","azure,azure-sdk,hacktoberfest,python","1179","983645","2012-04-24T16:46:12Z","2026-06-29T18:25:34Z","2026-06-29T18:43:08Z","MIT","5179","941","22830","132.25","1","1","joern slice failed: OutOfMemoryError"
"PostHog/posthog","https://github.com/PostHog/posthog","https://github.com/PostHog/posthog.git","master","🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data warehouse, a CDP, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack.","langchain_core","35226","2905","Python","ab-testing,ai-analytics,analytics,cdp,data-warehouse,experiments,feature-flags,javascript,product-analytics,python,react,session-replay,surveys,typescript,web-analytics","4005","5418130","2020-01-23T22:46:58Z","2026-06-29T19:56:50Z","2026-06-29T19:57:41Z","NOASSERTION","2348","524","48890","624.66","1","1","joern slice failed: joern-parse failed"
"drussell23/JARVIS","https://github.com/drussell23/JARVIS","https://github.com/drussell23/JARVIS.git","main","Trinity AGI OS -- Autonomous self-evolving AI operating system. Ouroboros + Venom proactive self-development engine, 19 sensors, 11-phase governance pipeline, Trinity consciousness, VLA vision pipeline, voice biometric auth. The organism develops itself.","metagpt","19","4","Python","agi,asyncio,autonomous-agents,governance,macos,ouroboros,python,rsi,self-development,self-evolving,trinity,vision-language-action,voice-biometric","28","272818","2025-08-13T18:15:43Z","2026-06-29T23:44:06Z","2026-06-29T23:44:04Z","","320","4","9017","845.34","1","0","joern slice failed: OutOfMemoryError"
"jiangxxxue/KOCO-bench","https://github.com/jiangxxxue/KOCO-bench","https://github.com/jiangxxxue/KOCO-bench.git","main","","langchain_deepseek, smolagents","12","3","Python","","2","333681","2025-12-30T01:07:28Z","2026-04-23T15:51:36Z","2026-04-03T08:02:46Z","","94","6","30","9.57","1","1","joern slice failed: joern-parse failed"
"cctbx/cctbx_project","https://github.com/cctbx/cctbx_project","https://github.com/cctbx/cctbx_project.git","master","Computational Crystallography Toolbox","langchain_chroma","290","139","Python","cctbx,cryo-em,crystallography,phenix","165","327432","2015-07-22T13:36:27Z","2026-06-30T01:51:04Z","2026-06-30T01:51:11Z","NOASSERTION","3995","147","40069","300.89","0","0","joern slice failed: joern-parse failed"
"endomorphosis/ipfs_datasets_py","https://github.com/endomorphosis/ipfs_datasets_py","https://github.com/endomorphosis/ipfs_datasets_py.git","main","a decentralized dataset generator and manipulator.","graphrag","22","6","Python","","210","461628","2024-04-07T04:18:48Z","2026-06-30T05:56:42Z","2026-06-30T05:56:38Z","AGPL-3.0","814","10","4629","170.6","1","1","joern slice failed: joern-parse failed"
